Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
29, eco3, 43338, 9842.18, 453.1, 507.7, 0.0
29, eco1, 93059, 7919.52, 315.6, 490.2, 0.0
30, eco2, 51531, 8293.81, 326.7, 430.8, 0.0
30, eco3, 43338, 9740.33, 446.8, 510.0, 0.0
30, eco1, 93059, 7734.99, 307.1, 491.9, 0.0
31, eco2, 51531, 8263.76, 324.7, 427.0, 0.0
31, eco3, 43338, 9742.68, 445.9, 508.0, 0.0
31, eco1, 93059, 7704.01, 305.9, 487.1, 0.0
32, eco2, 51531, 8235.05, 322.4, 423.6, 0.0
32, eco3, 43338, 9765.13, 443.1, 506.0, 0.0
32, eco1, 93059, 7672.75, 302.2, 482.4, 0.0
33, eco2, 51531, 8204.22, 320.0, 420.5, 0.0
33, eco3, 43338, 9769.97, 440.2, 504.0, 0.0
33, eco1, 93059, 7640.69, 299.6, 478.1, 0.0
34, eco2, 51531, 8177.55, 317.4, 417.6, 0.0
34, eco3, 43338, 9765.82, 436.7, 501.8, 0.0
34, eco1, 93059, 7609.56, 296.1, 473.8, 0.0
35, eco2, 51531, 8151.93, 314.8, 414.9, 0.0
35, eco3, 43338, 9760.49, 434.1, 499.7, 0.0
35, eco1, 93059, 7581.40, 293.2, 469.8, 0.0
36, eco2, 51531, 8129.29, 311.8, 412.2, 0.0
36, eco3, 43338, 9751.06, 430.4, 497.4, 0.0
36, eco1, 93059, 7552.00, 289.0, 465.6, 0.0
37, eco2, 51531, 8107.41, 308.7, 409.5, 0.0
37, eco3, 43338, 9741.81, 426.8, 495.1, 0.0
37, eco1, 93059, 7523.61, 285.5, 461.4, 0.0
38, eco2, 51531, 8084.25, 305.3, 406.7, 0.0
38, eco3, 43338, 9730.18, 422.5, 492.4, 0.0
38, eco1, 93059, 7495.05, 281.0, 457.0, 0.0
39, eco2, 51531, 8064.17, 301.9, 403.9, 0.0
39, eco3, 43338, 9717.69, 418.0, 489.6, 0.0
39, eco1, 93059, 7466.62, 277.0, 452.5, 0.0
40, eco2, 51531, 7757.32, 287.7, 410.2, 0.0
40, eco3, 43338, 9467.66, 398.6, 491.1, 0.0
40, eco1, 93059, 7350.65, 268.2, 450.3, 0.0
41, eco2, 51531, 7770.02, 287.1, 402.8, 0.0
41, eco3, 43338, 9471.91, 394.4, 482.6, 0.0
41, eco1, 93059, 7329.84, 264.4, 444.1, 0.0
42, eco2, 51531, 7776.33, 280.9, 395.6, 0.0
42, eco3, 43338, 9470.91, 387.5, 474.6, 0.0
42, eco1, 93059, 7305.79, 258.5, 437.7, 0.0
43, eco2, 51531, 7780.25, 278.2, 389.5, 0.0
43, eco3, 43338, 9464.02, 381.5, 467.2, 0.0
43, eco1, 93059, 7278.92, 253.9, 431.6, 0.0
44, eco2, 51531, 7784.67, 272.8, 383.5, 0.0
44, eco3, 43338, 9452.38, 374.0, 460.0, 0.0
44, eco1, 93059, 7249.14, 248.1, 425.2, 0.0
45, eco2, 51531, 7782.61, 269.6, 378.1, 0.0
45, eco3, 43338, 9433.08, 367.4, 453.0, 0.0
45, eco1, 93059, 7211.32, 243.5, 419.1, 0.0
46, eco2, 51531, 7774.79, 264.3, 372.7, 0.0
46, eco3, 43338, 9407.20, 359.5, 446.0, 0.0
46, eco1, 93059, 7168.25, 238.7, 413.1, 0.0
47, eco2, 51531, 7764.34, 261.5, 367.8, 0.0
47, eco3, 43338, 9376.57, 353.1, 439.3, 0.0
47, eco1, 93059, 7121.45, 235.5, 407.6, 0.0
48, eco2, 51531, 7747.62, 257.0, 363.0, 0.0
48, eco3, 43338, 9341.95, 346.0, 432.5, 0.0
48, eco1, 93059, 7073.21, 232.7, 402.5, 0.0
49, eco2, 51531, 7731.28, 254.7, 358.7, 0.0
49, eco3, 43338, 9301.77, 340.6, 426.2, 0.0
49, eco1, 93059, 7024.93, 230.8, 398.1, 0.0
50, eco2, 51531, 7587.79, 248.5, 356.6, 0.0
50, eco3, 43338, 9105.99, 329.8, 422.4, 0.0
50, eco1, 93059, 6887.29, 226.8, 395.9, 0.0
51, eco2, 51531, 7573.60, 246.6, 351.4, 0.0
51, eco3, 43338, 9065.01, 324.9, 414.3, 0.0
51, eco1, 93059, 6843.74, 225.2, 391.4, 0.0
52, eco2, 51531, 7558.89, 243.1, 346.5, 0.0
52, eco3, 43338, 9023.17, 319.0, 406.6, 0.0
52, eco1, 93059, 6799.33, 222.9, 387.1, 0.0
53, eco2, 51531, 7542.63, 241.1, 342.0, 0.0
53, eco3, 43338, 8978.65, 314.0, 399.4, 0.0
53, eco1, 93059, 6756.15, 221.0, 383.2, 0.0
54, eco2, 51531, 7526.70, 237.7, 337.6, 0.0
54, eco3, 43338, 8934.29, 308.0, 392.3, 0.0
54, eco1, 93059, 6713.45, 218.7, 379.5, 0.0
55, eco2, 51531, 7513.95, 235.6, 333.5, 0.0
55, eco3, 43338, 8888.36, 302.9, 385.5, 0.0
55, eco1, 93059, 6671.80, 216.8, 376.0, 0.0
56, eco2, 51531, 7500.44, 232.5, 329.5, 0.0
56, eco3, 43338, 8844.97, 297.2, 378.6, 0.0
56, eco1, 93059, 6633.08, 214.5, 372.6, 0.0
57, eco2, 51531, 7486.28, 230.4, 325.6, 0.0
57, eco3, 43338, 8802.41, 291.9, 371.9, 0.0
57, eco1, 93059, 6595.43, 212.5, 369.3, 0.0
58, eco2, 51531, 7473.98, 227.3, 321.7, 0.0
58, eco3, 43338, 8757.78, 286.0, 365.0, 0.0
58, eco1, 93059, 6559.36, 210.3, 366.0, 0.0
59, eco2, 51531, 7461.33, 225.1, 318.0, 0.0
59, eco3, 43338, 8712.33, 280.7, 358.2, 0.0
59, eco1, 93059, 6523.64, 208.4, 362.9, 0.0
60, eco2, 51531, 7296.78, 220.5, 316.0, 0.0
60, eco3, 43338, 8548.37, 271.8, 351.9, 0.0
60, eco1, 93059, 6292.24, 198.3, 362.0, 0.0
61, eco2, 51531, 7216.40, 218.0, 311.7, 0.0
61, eco3, 43338, 8443.89, 266.6, 344.0, 0.0
61, eco1, 93059, 6208.06, 196.8, 356.7, 0.0
62, eco2, 51531, 7142.69, 215.3, 307.6, 0.0
62, eco3, 43338, 8343.87, 261.6, 336.6, 0.0
62, eco1, 93059, 6129.89, 195.2, 352.1, 0.0
63, eco2, 51531, 7074.09, 213.2, 303.8, 0.0
63, eco3, 43338, 8247.87, 257.9, 329.9, 0.0
63, eco1, 93059, 6058.06, 194.0, 348.0, 0.0
64, eco2, 51531, 7009.10, 210.7, 300.1, 0.0
64, eco3, 43338, 8152.99, 254.0, 323.6, 0.0
64, eco1, 93059, 5989.48, 192.5, 344.4, 0.0
65, eco2, 51531, 6946.54, 208.6, 296.7, 0.0
65, eco3, 43338, 8061.45, 250.8, 318.0, 0.0
65, eco1, 93059, 5924.26, 191.1, 341.1, 0.0
66, eco2, 51531, 6886.63, 206.0, 293.2, 0.0
66, eco3, 43338, 7972.35, 247.5, 312.7, 0.0
66, eco1, 93059, 5862.00, 189.4, 337.9, 0.0
67, eco2, 51531, 6827.04, 203.7, 289.7, 0.0
67, eco3, 43338, 7886.82, 244.6, 307.9, 0.0
67, eco1, 93059, 5802.39, 187.8, 334.8, 0.0
68, eco2, 51531, 6768.71, 201.1, 286.2, 0.0
68, eco3, 43338, 7804.60, 241.4, 303.3, 0.0
68, eco1, 93059, 5745.17, 186.0, 331.8, 0.0
69, eco2, 51531, 6712.07, 198.8, 282.8, 0.0
69, eco3, 43338, 7725.48, 238.4, 298.9, 0.0
69, eco1, 93059, 5690.41, 184.4, 328.9, 0.0
70, eco2, 51531, 6609.31, 195.2, 280.5, 0.0
70, eco3, 43338, 7544.72, 232.4, 296.4, 0.0
70, eco1, 93059, 5572.62, 180.9, 327.6, 0.0
71, eco2, 51531, 6556.51, 193.2, 276.6, 0.0
71, eco3, 43338, 7472.50, 229.3, 291.1, 0.0
71, eco1, 93059, 5523.86, 179.2, 323.9, 0.0
72, eco2, 51531, 6503.82, 190.5, 272.8, 0.0
72, eco3, 43338, 7401.26, 225.7, 285.9, 0.0
72, eco1, 93059, 5476.31, 177.4, 320.3, 0.0
73, eco2, 51531, 6452.32, 188.3, 269.0, 0.0
73, eco3, 43338, 7330.84, 222.1, 281.0, 0.0
73, eco1, 93059, 5429.21, 175.5, 316.8, 0.0
74, eco2, 51531, 6400.76, 185.7, 265.3, 0.0
74, eco3, 43338, 7262.83, 218.3, 276.2, 0.0
74, eco1, 93059, 5382.55, 173.5, 313.3, 0.0
75, eco2, 51531, 6350.05, 183.4, 261.7, 0.0
75, eco3, 43338, 7196.35, 214.6, 271.4, 0.0
75, eco1, 93059, 5336.88, 171.6, 309.8, 0.0
76, eco2, 51531, 6300.53, 180.9, 258.0, 0.0
76, eco3, 43338, 7129.44, 210.6, 266.6, 0.0
76, eco1, 93059, 5291.56, 169.6, 306.3, 0.0
77, eco2, 51531, 6250.29, 178.7, 254.5, 0.0
77, eco3, 43338, 7063.91, 206.7, 261.8, 0.0
77, eco1, 93059, 5246.58, 167.7, 302.9, 0.0
78, eco2, 51531, 6201.47, 176.5, 251.0, 0.0
78, eco3, 43338, 6997.84, 202.5, 256.9, 0.0
78, eco1, 93059, 5202.37, 166.0, 299.5, 0.0
79, eco2, 51531, 6152.20, 174.7, 247.7, 0.0
79, eco3, 43338, 6931.83, 198.6, 252.0, 0.0
79, eco1, 93059, 5158.48, 164.5, 296.3, 0.0
80, eco2, 51531, 6071.39, 176.8, 246.0, 0.0
80, eco3, 43338, 6836.13, 195.1, 247.5, 0.0
80, eco1, 93059, 5089.58, 165.5, 294.3, 0.0
81, eco2, 51531, 6006.82, 175.3, 243.9, 0.0
81, eco3, 43338, 6752.69, 191.1, 242.6, 0.0
81, eco1, 93059, 5035.22, 164.2, 292.0, 0.0
82, eco2, 51531, 5943.66, 173.7, 241.8, 0.0
82, eco3, 43338, 6672.21, 187.3, 237.9, 0.0
82, eco1, 93059, 4982.18, 162.9, 289.7, 0.0
83, eco2, 51531, 5884.78, 172.0, 239.7, 0.0
83, eco3, 43338, 6594.47, 183.7, 233.1, 0.0
83, eco1, 93059, 4932.34, 161.4, 287.4, 0.0
84, eco2, 51531, 5829.59, 170.9, 237.6, 0.0
84, eco3, 43338, 6518.80, 179.9, 228.4, 0.0
84, eco1, 93059, 4885.35, 160.5, 285.1, 0.0
85, eco2, 51531, 5773.85, 169.6, 235.7, 0.0
85, eco3, 43338, 6443.21, 176.3, 223.8, 0.0
85, eco1, 93059, 4837.80, 159.3, 282.9, 0.0
86, eco2, 51531, 5720.64, 167.6, 233.5, 0.0
