Time,PopulationZone,TotalSites,SpeciesName,SpeciesIndex,AverageForage,AverageForageInReach,AverageBiomassBrowsed,AverageBiomassRemoved,TotalCohortsKilled,
1, 1, 140433, ABBA, 0, 12.5746993826065, 3.25817325607058, 0.662118194741376, 0.666694060918432, 33, 
1, 1, 140433, ACRU, 1, 1.50820243105198, 0.0415736130396707, 0.0404890293079401, 0.0567118829107311, 117, 
1, 1, 140433, ACSA3, 2, 23.8466620751433, 0.77338879120322, 0.189775950923871, 0.189775950923871, 0, 
1, 1, 140433, ACSP2, 3, 0.15065650381316, 0.130616393582695, 0.0857424091696857, 0.106402282561268, 149, 
1, 1, 140433, ALIN2, 4, 1.2212018542655, 0, 0, 0, 0, 
1, 1, 140433, BEAL2, 5, 29.011883651277, 0.819936798295396, 0.187289946979465, 0.187289946979465, 0, 
1, 1, 140433, BEPA, 6, 61.4521612783812, 1.78546375985419, 0.74217734734812, 0.746059739663316, 28, 
1, 1, 140433, CRDO2, 7, 0.0708848262160616, 0.0137719951240095, 0.00137719951240092, 0.00137719951240092, 0, 
1, 1, 140433, FRNI, 8, 0.42044340005548, 0, 0, 0, 0, 
1, 1, 140433, LALA, 9, 1.98508230971334, 0, 0, 0, 0, 
1, 1, 140433, PIGL, 10, 35.8037118455209, 0, 0, 0, 0, 
1, 1, 140433, PIMA, 11, 10.7698804981726, 0, 0, 0, 0, 
1, 1, 140433, PIBA2, 12, 2.67031658370857, 0, 0, 0, 0, 
1, 1, 140433, PIRE, 13, 0.203326978701589, 0, 0, 0, 0, 
1, 1, 140433, PIST, 14, 6.02502205037349, 0.209226316464027, 0.0170582572069502, 0.0170582572069502, 0, 
1, 1, 140433, POBA2, 15, 1.72929465296615, 0.10722667749033, 0.0375646704247, 0.0382579547666994, 5, 
1, 1, 140433, POGR4, 16, 3.26831296917417, 0.00101138621264233, 0.00101890581273633, 0.00129621954953607, 2, 
1, 1, 140433, POTR5, 17, 74.8232733502789, 1.03738297408744, 0.546772291486382, 0.581617356209458, 94, 
1, 1, 140433, PRVI, 18, 0.0615561983294558, 0.0214609386682595, 0.00485518429739227, 0.00485518429739227, 0, 
1, 1, 140433, QURU, 19, 0.0770901882036275, 0.0025529042319113, 0.000127645211595565, 0.000127645211595565, 0, 
1, 1, 140433, SODE3, 20, 0.945362807888863, 0.439224541239504, 0.324604642843843, 0.413668906621401, 639, 
1, 1, 140433, THOC2, 21, 31.8834675951982, 0.819158144880905, 0.0649770207498655, 0.0649770207498655, 0, 
1, 1, 140433, Shrub, 22, 1.82272474418276, 1.05648930429496, 0.546172006856769, 0.592110570235334, 246, 
2, 1, 140433, ABBA, 0, 12.5765249984788, 3.25814252314665, 0.722889687009639, 0.726217451851229, 24, 
2, 1, 140433, ACRU, 1, 1.51022336117525, 0.0435082557518544, 0.0417741873057614, 0.0545328464598046, 92, 
2, 1, 140433, ACSA3, 2, 23.8450183152472, 0.773204727070872, 0.218304504992181, 0.218304504992181, 0, 
2, 1, 140433, ACSP2, 3, 0.150526611502943, 0.130486877252481, 0.0904030856499191, 0.111630273644134, 153, 
2, 1, 140433, ALIN2, 4, 1.22191189250437, 0, 0, 0, 0, 
2, 1, 140433, BEAL2, 5, 29.0112742371242, 0.822403823199209, 0.219698344057383, 0.219698344057383, 0, 
2, 1, 140433, BEPA, 6, 61.4374921199575, 1.86468485290849, 0.893201662854799, 0.897084055169994, 28, 
2, 1, 140433, CRDO2, 7, 0.0714651513533157, 0.0143416145243641, 0.00145324268927136, 0.00145324268927136, 0, 
2, 1, 140433, FRNI, 8, 0.421132759394097, 0, 0, 0, 0, 
2, 1, 140433, LALA, 9, 1.9866627416631, 0, 0, 0, 0, 
2, 1, 140433, PIGL, 10, 35.8212293179098, 0, 0, 0, 0, 
2, 1, 140433, PIMA, 11, 10.7764296938744, 0, 0, 0, 0, 
2, 1, 140433, PIBA2, 12, 2.6713828630019, 0, 0, 0, 0, 
2, 1, 140433, PIRE, 13, 0.203356493131958, 0, 0, 0, 0, 
2, 1, 140433, PIST, 14, 6.02644457072128, 0.210206010499617, 0.0194290204637759, 0.0194290204637759, 0, 
2, 1, 140433, POBA2, 15, 1.72921612954226, 0.107148154066356, 0.0422439582194794, 0.042659928824679, 3, 
2, 1, 140433, POGR4, 16, 3.26913880925449, 0.00261118113263978, 0.00232418381756087, 0.00261360297117861, 3, 
2, 1, 140433, POTR5, 17, 74.8103501467595, 1.03005830082676, 0.631410053410559, 0.668498445455153, 109, 
2, 1, 140433, PRVI, 18, 0.0618475640340978, 0.0217346333126807, 0.00867017885002879, 0.0100567475340281, 10, 
2, 1, 140433, QURU, 19, 0.0771556087244452, 0.00262020465275256, 0.000131010232637628, 0.000131010232637628, 0, 
2, 1, 140433, SODE3, 20, 0.944928492648402, 0.438788534089054, 0.333712513523795, 0.449715773017519, 836, 
2, 1, 140433, THOC2, 21, 31.8973147507816, 0.829238601183918, 0.0760513907557419, 0.0760513907557419, 0, 
2, 1, 140433, Shrub, 22, 1.81985498184225, 1.05560035139509, 0.610706439421904, 0.67726877861102, 334, 
3, 1, 140433, ABBA, 0, 12.5782227976488, 3.25959625822528, 0.760436060856831, 0.763939252271945, 21, 
3, 1, 140433, ACRU, 1, 1.51011828580884, 0.0434451021559675, 0.0419567717862533, 0.0575355331699316, 112, 
3, 1, 140433, ACSA3, 2, 23.8402896444297, 0.773950555410785, 0.236558854809709, 0.236760844729384, 1, 
3, 1, 140433, ACSP2, 3, 0.14936153033466, 0.129322172064202, 0.092138736270332, 0.115566238536668, 153, 
3, 1, 140433, ALIN2, 4, 1.22537015658759, 0, 0, 0, 0, 
3, 1, 140433, BEAL2, 5, 29.0037840007835, 0.823044779823721, 0.239232860600418, 0.239232860600418, 0, 
3, 1, 140433, BEPA, 6, 61.410886446234, 1.85818511600738, 0.959275139160677, 0.979797690863884, 42, 
3, 1, 140433, CRDO2, 7, 0.07243029202538, 0.0152833965574332, 0.00158750870372231, 0.00158750870372231, 0, 
3, 1, 140433, FRNI, 8, 0.421835842002887, 0, 0, 0, 0, 
3, 1, 140433, LALA, 9, 1.98744139625284, 0, 0, 0, 0, 
3, 1, 140433, PIGL, 10, 35.842370297594, 0, 0, 0, 0, 
3, 1, 140433, PIMA, 11, 10.788956971651, 0, 0, 0, 0, 
3, 1, 140433, PIBA2, 12, 2.67257133579676, 0, 0, 0, 0, 
3, 1, 140433, PIRE, 13, 0.203549934844376, 0, 0, 0, 0, 
3, 1, 140433, PIST, 14, 6.02773286620713, 0.2110652293798, 0.0209037064713249, 0.0209037064713249, 0, 
3, 1, 140433, POBA2, 15, 1.72854586998786, 0.106477894511977, 0.04456129877853, 0.0449772693837297, 3, 
3, 1, 140433, POGR4, 16, 3.2673238973748, 0.00239324432291557, 0.00210332580516854, 0.00253624399391336, 4, 
3, 1, 140433, POTR5, 17, 74.7807509704714, 1.01737634487621, 0.672666291373384, 0.716550723095261, 123, 
3, 1, 140433, PRVI, 18, 0.061818370851102, 0.0217031842496567, 0.00872156522723762, 0.0101081339112369, 10, 
