SpeciesCode,AgeDBH,MaximumBarkThickness
ABBA,100,1.3
ACRU,122.15,2.48
ACSA3,200,3.27
ACSP2,40,1
ALIN2,40,1
BEAL2,139.29,2.09
BEPA,100,1.3
CRDO2,40,1
FRNI,50.4,2.46
LALA,100,1.3
PIBA2,100,7
PIGL,100,1.3
PIMA,50,3.4
PIST,80,3.4
PIRE,80,4.4
POBA2,80,1.5
POGR4,80,1.5
POTR5,80,1.5
PRVI,40.17,1.99
QURU,122.8,4.73
SODE3,40,1
THOC2,100,1.3
Shrub,40,1
