Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
29, eco3, 43338, 9995.41, 441.7, 490.9, 0.0
29, eco1, 93059, 8081.97, 294.4, 459.7, 0.0
30, eco2, 51531, 8514.35, 315.9, 396.2, 0.0
30, eco3, 43338, 9854.31, 434.8, 491.3, 0.0
30, eco1, 93059, 7829.68, 287.3, 460.9, 0.0
31, eco2, 51531, 8460.52, 313.2, 392.9, 0.0
31, eco3, 43338, 9833.27, 432.8, 488.8, 0.0
31, eco1, 93059, 7758.12, 285.6, 456.5, 0.0
32, eco2, 51531, 8403.11, 310.5, 390.0, 0.0
32, eco3, 43338, 9821.56, 430.5, 486.6, 0.0
32, eco1, 93059, 7694.19, 283.7, 452.7, 0.0
33, eco2, 51531, 8347.49, 307.8, 387.2, 0.0
33, eco3, 43338, 9823.37, 427.1, 484.4, 0.0
33, eco1, 93059, 7629.33, 281.3, 449.2, 0.0
34, eco2, 51531, 8287.47, 304.6, 384.5, 0.0
34, eco3, 43338, 9798.35, 422.9, 481.9, 0.0
34, eco1, 93059, 7563.50, 278.7, 445.8, 0.0
35, eco2, 51531, 8232.17, 301.5, 381.8, 0.0
35, eco3, 43338, 9774.08, 419.5, 479.4, 0.0
35, eco1, 93059, 7504.31, 275.8, 442.6, 0.0
36, eco2, 51531, 8178.41, 298.3, 379.2, 0.0
36, eco3, 43338, 9748.49, 416.0, 476.9, 0.0
36, eco1, 93059, 7448.43, 272.6, 439.3, 0.0
37, eco2, 51531, 8128.83, 294.9, 376.5, 0.0
37, eco3, 43338, 9721.76, 412.1, 474.3, 0.0
37, eco1, 93059, 7395.87, 269.3, 435.9, 0.0
38, eco2, 51531, 8082.10, 291.1, 373.7, 0.0
38, eco3, 43338, 9694.06, 407.8, 471.6, 0.0
38, eco1, 93059, 7345.15, 265.8, 432.5, 0.0
39, eco2, 51531, 8036.84, 287.2, 370.9, 0.0
39, eco3, 43338, 9664.70, 403.4, 468.7, 0.0
39, eco1, 93059, 7297.64, 262.0, 428.9, 0.0
40, eco2, 51531, 8045.14, 300.6, 373.2, 0.0
40, eco3, 43338, 9608.70, 402.0, 468.2, 0.0
40, eco1, 93059, 7263.94, 278.3, 433.6, 0.0
41, eco2, 51531, 8071.37, 298.6, 374.5, 0.0
41, eco3, 43338, 9589.76, 398.0, 465.6, 0.0
41, eco1, 93059, 7297.48, 276.0, 433.8, 0.0
42, eco2, 51531, 8095.07, 294.8, 374.8, 0.0
42, eco3, 43338, 9566.91, 392.2, 462.5, 0.0
42, eco1, 93059, 7326.56, 271.2, 432.8, 0.0
43, eco2, 51531, 8115.79, 290.3, 374.1, 0.0
43, eco3, 43338, 9540.95, 386.0, 458.8, 0.0
43, eco1, 93059, 7349.99, 266.3, 430.7, 0.0
44, eco2, 51531, 8132.79, 285.8, 372.7, 0.0
44, eco3, 43338, 9510.44, 379.4, 454.7, 0.0
44, eco1, 93059, 7366.36, 261.2, 427.8, 0.0
45, eco2, 51531, 8140.72, 281.2, 370.8, 0.0
45, eco3, 43338, 9472.18, 372.6, 450.2, 0.0
45, eco1, 93059, 7375.56, 256.1, 424.3, 0.0
46, eco2, 51531, 8143.36, 276.6, 368.3, 0.0
46, eco3, 43338, 9431.68, 365.9, 445.4, 0.0
46, eco1, 93059, 7378.11, 251.3, 420.4, 0.0
47, eco2, 51531, 8138.15, 271.9, 365.4, 0.0
47, eco3, 43338, 9387.67, 359.3, 440.4, 0.0
47, eco1, 93059, 7375.15, 246.9, 416.3, 0.0
48, eco2, 51531, 8130.33, 267.9, 362.4, 0.0
48, eco3, 43338, 9343.12, 353.1, 435.2, 0.0
48, eco1, 93059, 7366.68, 243.5, 412.3, 0.0
49, eco2, 51531, 8123.03, 264.5, 359.3, 0.0
49, eco3, 43338, 9301.32, 347.4, 430.0, 0.0
49, eco1, 93059, 7355.19, 241.1, 408.6, 0.0
50, eco2, 51531, 7993.41, 259.0, 358.6, 0.0
50, eco3, 43338, 9092.41, 336.9, 428.0, 0.0
50, eco1, 93059, 7289.96, 238.6, 406.7, 0.0
51, eco2, 51531, 7984.33, 256.5, 354.4, 0.0
51, eco3, 43338, 9054.37, 331.8, 420.3, 0.0
51, eco1, 93059, 7275.36, 237.0, 403.2, 0.0
52, eco2, 51531, 7973.90, 254.1, 350.5, 0.0
52, eco3, 43338, 9015.43, 326.4, 413.0, 0.0
52, eco1, 93059, 7259.39, 235.1, 400.0, 0.0
53, eco2, 51531, 7964.23, 251.6, 346.8, 0.0
53, eco3, 43338, 8973.26, 320.7, 406.0, 0.0
53, eco1, 93059, 7242.56, 233.2, 397.0, 0.0
54, eco2, 51531, 7952.89, 249.0, 343.3, 0.0
54, eco3, 43338, 8931.28, 315.0, 399.0, 0.0
54, eco1, 93059, 7224.45, 231.2, 394.1, 0.0
55, eco2, 51531, 7938.96, 246.4, 339.9, 0.0
55, eco3, 43338, 8887.94, 309.1, 392.1, 0.0
55, eco1, 93059, 7205.83, 229.1, 391.3, 0.0
56, eco2, 51531, 7923.49, 243.8, 336.4, 0.0
56, eco3, 43338, 8842.91, 303.8, 385.3, 0.0
56, eco1, 93059, 7188.79, 227.3, 388.5, 0.0
57, eco2, 51531, 7908.97, 241.0, 332.9, 0.0
57, eco3, 43338, 8800.71, 297.9, 378.4, 0.0
57, eco1, 93059, 7173.22, 225.1, 385.8, 0.0
58, eco2, 51531, 7894.37, 238.3, 329.4, 0.0
58, eco3, 43338, 8757.01, 292.1, 371.4, 0.0
58, eco1, 93059, 7160.64, 222.9, 382.9, 0.0
59, eco2, 51531, 7881.28, 235.3, 325.8, 0.0
59, eco3, 43338, 8709.18, 286.1, 364.4, 0.0
59, eco1, 93059, 7148.41, 220.6, 380.0, 0.0
60, eco2, 51531, 7788.35, 229.8, 324.5, 0.0
60, eco3, 43338, 8342.67, 273.6, 365.6, 0.0
60, eco1, 93059, 6828.46, 211.1, 385.1, 0.0
61, eco2, 51531, 7812.64, 227.6, 319.5, 0.0
61, eco3, 43338, 8346.68, 269.2, 354.9, 0.0
61, eco1, 93059, 6841.58, 209.5, 378.5, 0.0
62, eco2, 51531, 7836.26, 225.3, 314.8, 0.0
62, eco3, 43338, 8348.85, 264.5, 345.3, 0.0
62, eco1, 93059, 6853.44, 207.5, 372.6, 0.0
63, eco2, 51531, 7864.39, 223.5, 310.6, 0.0
63, eco3, 43338, 8349.21, 260.8, 336.8, 0.0
63, eco1, 93059, 6868.94, 205.7, 367.3, 0.0
64, eco2, 51531, 7893.01, 221.6, 306.7, 0.0
64, eco3, 43338, 8353.16, 257.9, 329.5, 0.0
64, eco1, 93059, 6887.30, 203.7, 362.4, 0.0
65, eco2, 51531, 7923.59, 219.7, 303.1, 0.0
65, eco3, 43338, 8354.06, 255.6, 323.2, 0.0
65, eco1, 93059, 6906.08, 201.7, 357.8, 0.0
66, eco2, 51531, 7950.24, 217.6, 299.6, 0.0
66, eco3, 43338, 8355.93, 253.3, 317.7, 0.0
66, eco1, 93059, 6924.64, 199.5, 353.4, 0.0
67, eco2, 51531, 7982.55, 215.7, 296.2, 0.0
67, eco3, 43338, 8361.29, 251.2, 312.9, 0.0
67, eco1, 93059, 6945.98, 197.5, 349.2, 0.0
68, eco2, 51531, 8011.62, 213.7, 292.9, 0.0
68, eco3, 43338, 8368.22, 249.0, 308.7, 0.0
68, eco1, 93059, 6967.55, 195.5, 345.2, 0.0
69, eco2, 51531, 8041.75, 211.7, 289.7, 0.0
69, eco3, 43338, 8377.53, 246.5, 304.7, 0.0
69, eco1, 93059, 6987.76, 193.4, 341.3, 0.0
70, eco2, 51531, 7874.66, 204.6, 292.0, 0.0
70, eco3, 43338, 8167.70, 238.1, 305.4, 0.0
70, eco1, 93059, 6910.36, 189.2, 339.8, 0.0
71, eco2, 51531, 7912.36, 203.6, 286.4, 0.0
71, eco3, 43338, 8189.70, 235.9, 299.0, 0.0
71, eco1, 93059, 6937.49, 187.4, 335.0, 0.0
72, eco2, 51531, 7948.58, 201.9, 281.5, 0.0
72, eco3, 43338, 8214.56, 233.1, 293.3, 0.0
72, eco1, 93059, 6963.44, 185.3, 330.4, 0.0
73, eco2, 51531, 7983.33, 200.1, 277.0, 0.0
73, eco3, 43338, 8240.91, 230.0, 288.0, 0.0
73, eco1, 93059, 6988.31, 183.1, 326.0, 0.0
74, eco2, 51531, 8014.43, 198.4, 272.9, 0.0
74, eco3, 43338, 8263.39, 226.9, 283.0, 0.0
74, eco1, 93059, 7011.91, 180.9, 321.7, 0.0
75, eco2, 51531, 8045.97, 196.5, 269.0, 0.0
75, eco3, 43338, 8287.52, 223.5, 278.2, 0.0
75, eco1, 93059, 7034.84, 178.5, 317.4, 0.0
76, eco2, 51531, 8076.02, 194.9, 265.4, 0.0
76, eco3, 43338, 8308.68, 220.0, 273.5, 0.0
76, eco1, 93059, 7055.10, 176.3, 313.3, 0.0
77, eco2, 51531, 8104.55, 193.6, 262.2, 0.0
77, eco3, 43338, 8332.99, 216.7, 268.9, 0.0
77, eco1, 93059, 7074.93, 174.3, 309.2, 0.0
78, eco2, 51531, 8135.77, 192.5, 259.3, 0.0
78, eco3, 43338, 8357.86, 213.4, 264.4, 0.0
78, eco1, 93059, 7096.38, 172.7, 305.4, 0.0
79, eco2, 51531, 8168.01, 191.9, 256.8, 0.0
79, eco3, 43338, 8383.78, 210.3, 260.0, 0.0
79, eco1, 93059, 7117.42, 171.6, 301.9, 0.0
80, eco2, 51531, 8085.50, 188.6, 256.4, 0.0
80, eco3, 43338, 8302.64, 208.9, 257.7, 0.0
80, eco1, 93059, 7047.55, 169.8, 300.8, 0.0
81, eco2, 51531, 8095.50, 188.0, 253.4, 0.0
81, eco3, 43338, 8290.70, 206.1, 253.5, 0.0
81, eco1, 93059, 7078.57, 169.2, 297.3, 0.0
82, eco2, 51531, 8107.06, 187.4, 250.8, 0.0
82, eco3, 43338, 8282.36, 203.3, 249.5, 0.0
82, eco1, 93059, 7107.95, 168.7, 294.3, 0.0
83, eco2, 51531, 8119.99, 186.7, 248.6, 0.0
83, eco3, 43338, 8272.62, 200.6, 245.6, 0.0
83, eco1, 93059, 7138.00, 168.2, 291.7, 0.0
84, eco2, 51531, 8129.70, 185.9, 246.6, 0.0
84, eco3, 43338, 8261.80, 197.7, 241.8, 0.0
84, eco1, 93059, 7167.91, 167.6, 289.4, 0.0
85, eco2, 51531, 8144.00, 185.1, 244.9, 0.0
85, eco3, 43338, 8252.87, 194.9, 238.1, 0.0
85, eco1, 93059, 7200.55, 167.0, 287.2, 0.0
86, eco2, 51531, 8158.80, 184.0, 243.2, 0.0
86, eco3, 43338, 8243.78, 191.9, 234.3, 0.0
86, eco1, 93059, 7233.54, 166.1, 285.2, 0.0
87, eco2, 51531, 8173.68, 183.1, 241.6, 0.0
87, eco3, 43338, 8234.67, 189.0, 230.6, 0.0
87, eco1, 93059, 7268.46, 165.4, 283.3, 0.0
88, eco2, 51531, 8185.26, 182.1, 240.1, 0.0
88, eco3, 43338, 8226.85, 185.9, 226.8, 0.0
88, eco1, 93059, 7302.55, 164.6, 281.5, 0.0
89, eco2, 51531, 8196.24, 181.2, 238.7, 0.0
89, eco3, 43338, 8216.77, 183.1, 223.1, 0.0
89, eco1, 93059, 7334.62, 163.8, 279.8, 0.0
90, eco2, 51531, 8170.78, 179.5, 238.6, 0.0
90, eco3, 43338, 8158.27, 180.6, 220.7, 0.0
90, eco1, 93059, 7342.00, 162.5, 278.6, 0.0
91, eco2, 51531, 8185.72, 178.8, 236.8, 0.0
91, eco3, 43338, 8154.81, 179.5, 217.4, 0.0
91, eco1, 93059, 7375.38, 161.6, 276.7, 0.0
92, eco2, 51531, 8204.46, 178.1, 235.3, 0.0
92, eco3, 43338, 8156.63, 178.7, 214.6, 0.0
92, eco1, 93059, 7409.65, 160.8, 274.9, 0.0
93, eco2, 51531, 8220.12, 177.4, 233.9, 0.0
93, eco3, 43338, 8158.25, 177.8, 212.2, 0.0
93, eco1, 93059, 7443.55, 159.8, 273.0, 0.0
94, eco2, 51531, 8237.80, 176.8, 232.7, 0.0
94, eco3, 43338, 8164.41, 176.9, 210.1, 0.0
94, eco1, 93059, 7478.63, 159.0, 271.3, 0.0
95, eco2, 51531, 8254.33, 176.3, 231.6, 0.0
95, eco3, 43338, 8168.74, 176.0, 208.3, 0.0
95, eco1, 93059, 7511.78, 158.1, 269.5, 0.0
96, eco2, 51531, 8271.06, 175.8, 230.7, 0.0
96, eco3, 43338, 8174.27, 175.2, 206.6, 0.0
96, eco1, 93059, 7545.25, 157.3, 267.8, 0.0
97, eco2, 51531, 8286.52, 175.3, 229.8, 0.0
97, eco3, 43338, 8181.34, 174.1, 205.0, 0.0
97, eco1, 93059, 7576.89, 156.4, 266.1, 0.0
98, eco2, 51531, 8303.01, 174.8, 229.0, 0.0
98, eco3, 43338, 8190.24, 173.2, 203.6, 0.0
98, eco1, 93059, 7609.01, 155.6, 264.5, 0.0
99, eco2, 51531, 8319.75, 174.2, 228.2, 0.0
99, eco3, 43338, 8200.69, 172.3, 202.2, 0.0
99, eco1, 93059, 7639.99, 155.0, 262.9, 0.0
