Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 388, 1223, 367, 364, 96, 3, 
10, 429, 1211, 63, 0, 0, 0, 
10, 429, 1291, 574, 528, 1, 2, 
10, 452, 1111, 844, 0, 0, 0, 
10, 552, 972, 785, 781, 242, 3, 
10, 559, 1070, 224, 201, 4, 2, 
10, 568, 1039, 122, 0, 0, 0, 
10, 625, 918, 37, 31, 19, 3, 
10, 637, 810, 563, 563, 171, 3, 
10, 638, 902, 213, 209, 63, 3, 
10, 646, 756, 393, 388, 106, 3, 
10, 662, 613, 344, 243, 4, 2, 
10, 690, 596, 91, 85, 41, 3, 
10, 752, 698, 375, 375, 195, 3, 
10, 764, 488, 718, 718, 3944, 4, 
10, 824, 613, 958, 755, 16, 2, 
10, 853, 546, 1571, 1571, 744, 3, 
10, 878, 284, 104, 98, 33, 3, 
10, 896, 471, 409, 347, 72, 3, 
10, 896, 649, 302, 293, 2, 2, 
10, 927, 365, 269, 268, 161, 3, 
20, 281, 1406, 522, 520, 23, 2, 
20, 390, 1285, 1592, 0, 0, 0, 
20, 417, 1179, 699, 699, 742, 3, 
20, 501, 1218, 340, 333, 20, 2, 
20, 545, 1076, 364, 364, 28, 2, 
20, 559, 1112, 607, 605, 445, 3, 
20, 575, 1119, 615, 602, 18, 2, 
20, 584, 1155, 123, 123, 4, 2, 
20, 631, 905, 201, 199, 184, 3, 
20, 644, 753, 1125, 0, 0, 0, 
20, 674, 662, 71, 71, 108, 3, 
20, 689, 723, 933, 933, 11169, 5, 
20, 759, 735, 950, 947, 4, 1, 
20, 760, 736, 589, 0, 0, 0, 
20, 764, 703, 669, 634, 13, 1, 
20, 794, 534, 1130, 1127, 1117, 3, 
20, 830, 416, 1150, 1150, 15337, 5, 
20, 885, 443, 121, 121, 1143, 5, 
20, 892, 416, 1193, 1191, 123, 2, 
20, 903, 438, 152, 0, 0, 0, 
20, 911, 603, 55, 0, 0, 0, 
20, 913, 522, 4, 0, 0, 0, 
20, 931, 577, 267, 267, 322, 3, 
20, 952, 584, 396, 0, 0, 0, 
20, 958, 301, 395, 361, 13, 2, 
20, 1037, 379, 445, 0, 0, 0, 
30, 256, 1485, 232, 232, 425, 3, 
30, 351, 1161, 126, 89, 6, 2, 
30, 388, 1305, 343, 340, 26, 2, 
30, 393, 1193, 221, 221, 355, 3, 
30, 427, 1241, 1416, 1413, 1786, 3, 
30, 441, 1079, 323, 322, 563, 3, 
30, 501, 1253, 21, 0, 0, 0, 
30, 513, 1067, 127, 122, 9, 2, 
30, 575, 944, 1131, 1131, 1838, 3, 
30, 575, 1156, 273, 272, 403, 3, 
30, 596, 827, 2477, 2458, 237, 2, 
30, 600, 1007, 565, 565, 938, 3, 
30, 624, 950, 110, 110, 16, 2, 
30, 636, 859, 202, 175, 30, 2, 
30, 643, 766, 256, 256, 400, 3, 
30, 675, 825, 713, 706, 110, 2, 
30, 678, 589, 159, 159, 246, 3, 
30, 860, 539, 15, 0, 0, 0, 
30, 878, 757, 567, 567, 912, 3, 
30, 890, 559, 431, 364, 17, 2, 
30, 892, 562, 4, 0, 0, 0, 
30, 903, 409, 797, 797, 1233, 3, 
30, 990, 331, 551, 1, 1, 3, 
40, 274, 1407, 962, 647, 13, 1, 
40, 478, 1213, 785, 785, 5999, 5, 
40, 490, 1096, 1965, 0, 0, 0, 
40, 498, 988, 520, 514, 146, 1, 
40, 582, 836, 118, 118, 868, 5, 
40, 587, 1134, 270, 261, 25, 1.96, 
40, 590, 904, 302, 301, 111, 2, 
40, 618, 742, 167, 167, 702, 4, 
40, 673, 730, 362, 320, 37, 2, 
40, 678, 843, 56, 53, 6, 2, 
40, 684, 700, 197, 197, 332, 3, 
40, 751, 733, 515, 514, 423, 1.92, 
40, 832, 539, 80, 76, 23, 2, 
40, 841, 516, 123, 123, 242, 3, 
40, 946, 318, 891, 890, 157, 1, 
40, 1010, 400, 73, 70, 134, 3, 
50, 285, 1405, 942, 1, 1, 2, 
50, 320, 1388, 65, 65, 163, 3, 
50, 555, 1205, 633, 633, 2782, 4, 
50, 671, 659, 1469, 1445, 1135, 2, 
50, 710, 726, 221, 214, 61, 1, 
50, 713, 712, 17, 0, 0, 0, 
50, 717, 557, 272, 271, 183, 2, 
50, 831, 432, 878, 877, 640, 2, 
50, 858, 446, 106, 104, 72, 2, 
50, 872, 410, 40, 40, 97, 3, 
50, 875, 505, 101, 101, 231, 3, 
50, 895, 500, 9, 0, 0, 0, 
50, 905, 509, 268, 268, 473, 3, 
50, 916, 282, 225, 28, 24, 2, 
50, 933, 567, 19, 19, 54, 3, 
50, 937, 541, 1734, 1734, 3647, 3, 
50, 943, 354, 281, 281, 652, 3, 
50, 949, 485, 404, 404, 898, 3, 
50, 981, 331, 705, 656, 8, 1, 
60, 327, 1374, 558, 0, 0, 0, 
60, 362, 1246, 388, 388, 1038, 3, 
60, 392, 1288, 3373, 3372, 2691, 2, 
60, 399, 1157, 111, 109, 65, 2, 
60, 431, 1133, 1087, 1087, 2807, 3, 
60, 468, 1208, 661, 541, 19, 1, 
60, 507, 1262, 589, 589, 1300, 3, 
60, 563, 864, 1402, 1402, 3519, 3, 
60, 597, 842, 885, 885, 1942, 3, 
60, 609, 760, 888, 888, 7183, 5, 
60, 628, 726, 141, 141, 393, 3, 
60, 631, 1104, 139, 139, 57, 2, 
60, 634, 1069, 159, 159, 727, 4, 
60, 649, 681, 1205, 1205, 2965, 3, 
60, 679, 845, 907, 907, 2699, 3, 
60, 721, 888, 39, 39, 109, 3, 
60, 722, 760, 632, 632, 581, 2, 
60, 762, 699, 1368, 1368, 3754, 3, 
60, 783, 626, 735, 735, 1955, 3, 
60, 786, 456, 312, 312, 821, 3, 
60, 810, 391, 1252, 1174, 116, 1, 
60, 815, 596, 344, 344, 991, 3, 
60, 826, 632, 181, 181, 503, 3, 
60, 830, 496, 348, 348, 739, 3, 
60, 837, 485, 33, 33, 27, 2, 
60, 866, 536, 53, 53, 146, 3, 
60, 866, 593, 4, 0, 0, 0, 
60, 871, 502, 279, 279, 168, 2, 
60, 904, 542, 377, 191, 6, 1, 
60, 908, 521, 1081, 1081, 325, 2, 
60, 908, 551, 182, 3, 10, 3, 
60, 909, 448, 11, 11, 49, 3, 
60, 917, 628, 746, 729, 19, 1, 
60, 929, 539, 471, 0, 0, 0, 
60, 962, 578, 12, 12, 34, 3, 
60, 977, 457, 79, 79, 209, 3, 
70, 345, 1295, 441, 441, 1311, 3, 
70, 462, 1202, 187, 187, 35, 1, 
70, 470, 988, 822, 822, 3981, 4, 
70, 481, 1259, 828, 828, 1152, 2, 
70, 509, 1009, 360, 360, 913, 3, 
70, 555, 897, 251, 250, 180, 1, 
70, 558, 974, 4, 4, 7, 1.75, 
70, 568, 888, 562, 561, 711, 3, 
70, 628, 875, 608, 607, 859, 2, 
70, 655, 686, 53, 0, 0, 0, 
70, 678, 601, 635, 635, 1397, 3, 
70, 734, 795, 166, 166, 1462, 5, 
70, 742, 707, 313, 277, 306, 3, 
70, 752, 468, 321, 320, 424, 2, 
70, 804, 504, 68, 67, 106, 2, 
70, 888, 345, 674, 674, 2079, 3, 
70, 894, 440, 963, 963, 11211, 5, 
70, 899, 730, 93, 42, 6, 1, 
70, 909, 579, 198, 198, 389, 3, 
70, 918, 503, 760, 760, 1195, 3, 
70, 920, 665, 324, 1, 7, 3, 
70, 926, 436, 921, 920, 1360, 2, 
70, 955, 454, 608, 608, 1332, 3, 
70, 986, 469, 29, 29, 149, 4, 
70, 1007, 452, 125, 121, 60, 1, 
80, 367, 1248, 220, 220, 230, 2, 
80, 488, 1149, 589, 587, 658, 2, 
80, 519, 952, 419, 419, 1272, 3, 
80, 533, 1038, 883, 883, 1384, 2, 
80, 557, 892, 1694, 1694, 2811, 3, 
80, 579, 823, 292, 292, 329, 2.99, 
80, 594, 1012, 288, 288, 371, 3, 
80, 628, 846, 1218, 1218, 3237, 3, 
80, 644, 803, 28, 28, 88, 3, 
80, 648, 1003, 45, 45, 104, 3, 
80, 657, 666, 97, 30, 4, 2, 
80, 657, 1006, 233, 0, 0, 0, 
80, 662, 856, 47, 47, 132, 3, 
80, 685, 950, 356, 356, 1037, 3, 
80, 709, 509, 26, 26, 87, 3, 
80, 731, 516, 439, 439, 608, 2, 
80, 745, 624, 125, 125, 339, 3, 
80, 754, 428, 84, 84, 244, 3, 
80, 771, 608, 29, 29, 37, 2, 
80, 787, 433, 790, 788, 509, 1, 
80, 790, 671, 118, 118, 329, 3, 
80, 796, 632, 622, 619, 663, 2, 
80, 804, 519, 94, 94, 85, 2, 
80, 820, 379, 1107, 1107, 3284, 3, 
80, 823, 374, 1331, 0, 0, 0, 
80, 833, 417, 258, 258, 3340, 5, 
80, 853, 606, 329, 327, 450, 2, 
80, 879, 286, 87, 2, 5, 3, 
80, 918, 321, 542, 1, 6, 4, 
80, 918, 485, 141, 141, 147, 3, 
80, 942, 618, 274, 274, 418, 2, 
90, 276, 1410, 168, 168, 316, 2, 
90, 318, 1326, 1478, 1475, 1565, 2, 
90, 359, 1374, 728, 728, 2257, 3, 
