Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,904.361201,28.81780376,95.40647331,1473.487143,2944.691518,6.174899795,2667.58435,461.5779344,46.06316423,15.80015904,703.1642506,0.055287506,0.001128316,0.040254032, ,84158949,2681756,8878431,137121240,274030048,574630,248242732,42953981,4286592,1470347,65435762,5145,105,3746,,984.4600379,58.07915798,259.0918064,1187.982573,2815.521178,3.20807969,2351.954525,571.7746531,84.27281725,22.73100336,1584.955243,0.05012558,0.001037631,0.021598697
20, eco1,93059,856.2177866,21.4606325,96.73810163,1320.618554,3235.882526,6.174899795,2272.142501,326.3035816,21.77999979,16.01149808,779.9526752,0.014120074,0.001139062,0.022372903, ,79678771,1997105,9002351,122895442,301127992,574630,211443309,30365485,2026825,1490014,72581616,1314,106,2082,,931.1286716,36.84274829,252.9399451,1037.751474,3080.98649,3.20807969,2014.940493,389.5772157,36.11715657,22.81980333,1695.875101,0.034757992,0.004161168,0.011919459
30, eco1,93059,659.7569821,14.37842659,84.96545203,1061.184206,3444.883579,6.170816364,1766.771231,178.8175244,7.532737296,16.17620005,830.9327523,0.008403271,0.001139062,0.001762323, ,61396325,1338042,7906800,98752741,320577421,574250,164413964,16640580,700989,1505341,77325771,782,106,164,,748.9623526,23.86491103,223.7390384,828.1772434,3309.762068,3.206057639,1571.472394,216.7710719,11.98686731,22.93440573,1775.228742,0.00434741,0.00107488,0.000893959
40, eco1,93059,502.8437443,12.10271978,74.79235754,791.2235893,3678.716932,6.106437851,1389.291138,86.46738091,5.786812667,16.83731826,898.9106266,0.00031163,0.000462072,0.00153666, ,46794136,1126267,6960102,73630476,342337719,568259,129286044,8046568,538515,1566864,83651724,29,43,143,,584.7360532,18.94050381,199.6803776,608.0965157,3550.236069,3.177073134,1245.557086,122.2956239,8.458755481,23.61287302,1835.011361,0.000207526,0.003474735,0.00076093
50, eco1,93059,390.9424344,12.06034881,75.82056545,678.5306419,3905.530996,6.115528858,831.5623637,50.62755886,3.482672283,19.08943788,997.0888254,0.000150442,0.004309094,2.15E-05, ,36380712,1122324,7055786,63143383,363444809,569105,77384362,4711350,324094,1776444,92788089,14,401,2,,463.7373303,18.8019135,203.1895939,519.0366736,3778.575183,3.18440573,743.4182506,75.08559129,6.399360393,25.89295368,1878.643608,9.57814E-05,0.002144438,0.000877996
60, eco1,93059,305.1163241,11.00289064,76.8650641,513.1677216,4030.383531,5.938447651,336.6900676,37.3198401,2.006211113,21.57415188,1079.939082,0,7.52E-05,2.15E-05, ,28393820,1023918,7152986,47754875,375063461,552626,31332041,3472947,186696,2007669,100498051,0,7,2,,366.845925,16.62868226,211.1164329,395.0170704,3925.200593,3.092955813,295.1869014,56.30329701,3.594610702,29.53489102,1867.577657,0,3.72483E-05,0.000830105
70, eco1,93059,181.3178091,10.33981668,66.27325675,252.9987105,3886.105686,5.645010155,132.4817589,21.84986944,0.731664858,21.81262425,1034.842928,0,0,2.15E-05, ,16873254,962213,6167323,23543807,361637109,525319,12328620,2033327,68088,2029861,96301448,0,0,2,,230.4261685,16.03889255,194.8810449,198.3716051,3783.72847,2.947192542,118.7164606,35.04140948,1.88244434,31.84543016,1666.610835,0,0,1.06424E-05
80, eco1,93059,125.2299616,9.452626828,60.29415747,79.19352239,3695.408966,5.159092619,73.82499275,14.86619242,0.371302077,23.21442311,1008.534854,0,0,2.15E-05, ,11653775,879652,5610914,7369670,343891063,480100,6870080,1383433,34553,2160311,93853245,0,0,2,,169.3417692,13.94120621,185.9539345,72.65982717,3594.314684,2.707185731,76.87767124,23.82071857,1.159603678,35.83714508,1532.594212,0,0,1.06424E-05
90, eco1,93059,75.52357107,8.767566812,55.90469487,16.12994982,3373.161715,3.984665642,30.65186602,6.636198541,0.187150088,22.23516264,950.6309975,0,0,3.22E-05, ,7028148,815901,5202435,1501037,313903056,370809,2852432,617558,17416,2069182,88464770,0,0,3,,114.4533864,13.02388149,179.076939,22.08353731,3289.85289,2.110771146,46.41210464,10.77770742,0.682240007,36.54725746,1383.760648,0,0,1.59636E-05
100, eco1,93059,53.11394922,8.068247026,49.85028853,7.495449124,3083.941704,3.4648019,22.87354259,4.42037847,0.097271623,22.59589078,921.1313253,0,0,0, ,4942731,750823,4639018,697519,286988531,322431,2128589,411356,9052,2102751,85719560,0,0,0,,87.32177217,11.79747031,164.716849,12.2454291,2993.365502,1.859962326,44.72776276,6.56801541,0.466997999,38.55222745,1257.423162,0,0,0
110, eco1,93059,12.79438851,6.653692819,39.61630793,4.339644742,2739.813129,2.733878507,18.54888834,1.091565566,0.040511933,20.72262758,909.9197928,0,0,0, ,1190633,619186,3686654,403843,254964270,254412,1726141,101580,3770,1928427,84676226,0,0,0,,27.09422758,8.841077434,122.5884328,7.707781704,2671.348197,1.480673449,41.38096505,1.754517688,0.280495722,35.18719935,1188.419459,0,0,0
120, eco1,93059,1.56203054,5.415661032,34.90901471,2.148572411,2429.703618,1.923983709,14.88798504,0.628590464,0.021932323,19.59147423,897.0903943,0,0,0, ,145361,503976,3248598,199944,226105789,179044,1385461,58496,2041,1823163,83482335,0,0,0,,4.758136095,7.07568324,99.92686561,4.693616704,2397.822389,1.065040867,39.83332446,0.820159848,0.164876974,33.13134285,1139.468131,0,0,0
130, eco1,93059,0.559419293,3.699266057,30.17701673,1.942703016,2251.035139,1.362544192,16.82242448,0.400240708,0.007113767,19.25086236,891.475709,0,0,0, ,52059,344250,2808243,180786,209479079,126797,1565478,37246,662,1791466,82959838,0,0,0,,0.850980163,4.749350815,80.76868801,3.533007322,2243.563796,0.776425014,46.4493157,0.447788515,0.079248436,32.54694351,1109.702226,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1204.313035,148.0514254,704.0677068,1051.114572,2920.307038,0.00304671,2218.267237,692.9117619,112.6637558,39.58824785,1490.066193,0.055985717,0.001668898,0, ,62059455,7629238,36281313,54164985,150486342,157,114309529,35706436,5805676,2040022,76784601,2885,86,0,,,,,,,,,,,,,,,
20, eco2,51531,1099.527779,88.38611709,677.4311579,881.5370748,3151.645864,0.00304671,1852.474336,455.8383497,48.22087675,39.46806777,1482.997632,0.076517048,0.001649493,0, ,56659766,4554625,34908705,45426487,162407463,157,95459855,23489806,2484870,2033829,76420351,3943,85,0,,,,,,,,,,,,,,,
30, eco2,51531,894.0835808,57.5117308,602.7638703,705.4969824,3412.684966,0.00304671,1354.565601,259.0918088,18.02631426,39.47258932,1482.219906,1.94E-05,0.001727116,0, ,46073021,2963637,31061025,36354965,175859069,157,69802120,13351260,928914,2034062,76380274,1,89,0,,,,,,,,,,,,,,,
40, eco2,51531,711.0836002,44.6989191,542.345753,512.205061,3682.247055,0.00304671,1062.458113,166.4144496,15.62081077,40.52583882,1491.558751,0,0.011798723,0, ,36642849,2303380,27947619,26394439,189749873,157,54749529,8575503,804956,2088337,76861514,0,608,0,,,,,,,,,,,,,,,
50, eco2,51531,573.4185054,43.80784382,546.1468436,427.8778405,3874.634278,0.00304671,602.1642506,118.7864974,12.82245639,43.64186606,1513.795676,0,3.88E-05,0, ,29548829,2257462,28143493,22048973,199663779,157,31030126,6121187,660754,2248909,78007405,0,2,0,,,,,,,,,,,,,,,
60, eco2,51531,452.4258796,38.07193728,569.4408026,332.305389,4017.154334,0.00304671,206.532592,90.72575731,7.30589354,50.11534804,1550.550445,0,0,0, ,23313958,1961885,29343854,17124029,207007980,157,10642831,4675189,376480,2582494,79901415,0,0,0,,,,,,,,,,,,,,,
70, eco2,51531,285.8441327,36.99885506,527.1160272,164.1527236,3810.752266,0.00304671,60.42840232,57.39281209,3.92099901,54.14944402,1403.594419,0,0,0, ,14729834,1906588,27162816,8458954,196371875,157,3113936,2957509,202053,2790375,72328624,0,0,0,,,,,,,,,,,,,,,
80, eco2,51531,208.9694941,31.36465429,503.1847238,63.37002969,3571.898449,0.00304671,42.8027595,38.78094739,2.566164057,60.51000369,1350.261202,0,0,0, ,10768407,1616252,25929612,3265521,184063499,157,2205669,1998421,132237,3118141,69580310,0,0,0,,,,,,,,,,,,,,,
90, eco2,51531,143.1966583,29.21169781,485.9052221,21.66365877,3252.697813,0.003007898,29.98284528,17.72228367,1.283499253,61.75375987,1290.934641,0,0,0, ,7379067,1505308,25039182,1116350,167614771,155,1545046,913247,66140,3182233,66523153,0,0,0,,,,,,,,,,,,,,,
100, eco2,51531,109.06499,26.14492247,446.7413208,12.21996468,2899.197396,0.00281384,28.54111118,10.53858842,0.950786905,63.78673032,1231.288001,0,0,0, ,5620228,1347274,23021027,629707,149398541,145,1470752,543064,48995,3286994,63449502,0,0,0,,,,,,,,,,,,,,,
110, eco2,51531,33.21429819,18.48956939,331.8004308,8.130950302,2601.511517,0.002386913,28.320836,2.908152374,0.533115988,56.39500495,1221.260659,0,0,0, ,1711566,952786,17098008,418996,134058490,123,1459401,149860,27472,2906091,62932783,0,0,0,,,,,,,,,,,,,,,
120, eco2,51531,4.967689352,14.5639712,271.9434903,4.963711164,2379.62801,0.001765927,30.03939376,1.216471638,0.284683006,51.6600687,1214.90726,0,0,0, ,255990,750496,14013520,255785,122624611,91,1547960,62686,14670,2662095,62605386,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,0.820768081,9.732238847,222.1327744,4.323281132,2249.607052,0.001047913,37.83831092,0.558130058,0.132134055,49.97900293,1215.267354,0,0,0, ,42295,501512,11446724,222783,115924501,54,1949846,28761,6809,2575468,62623942,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
