Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
29, eco3, 43338, 9861.23, 451.2, 505.0, 0.0
29, eco1, 93059, 7961.03, 315.5, 490.4, 0.0
30, eco2, 51531, 8394.69, 329.4, 429.5, 0.0
30, eco3, 43338, 9688.14, 442.4, 507.4, 0.0
30, eco1, 93059, 7730.84, 306.4, 491.9, 0.0
31, eco2, 51531, 8364.70, 327.3, 425.9, 0.0
31, eco3, 43338, 9684.25, 441.0, 504.3, 0.0
31, eco1, 93059, 7690.86, 304.6, 486.4, 0.0
32, eco2, 51531, 8328.62, 324.6, 422.5, 0.0
32, eco3, 43338, 9678.71, 438.9, 501.8, 0.0
32, eco1, 93059, 7655.50, 301.3, 481.3, 0.0
33, eco2, 51531, 8300.74, 322.0, 419.5, 0.0
33, eco3, 43338, 9703.92, 436.3, 499.5, 0.0
33, eco1, 93059, 7618.62, 298.6, 476.7, 0.0
34, eco2, 51531, 8270.58, 319.1, 416.6, 0.0
34, eco3, 43338, 9698.08, 432.3, 496.9, 0.0
34, eco1, 93059, 7585.24, 295.3, 472.2, 0.0
35, eco2, 51531, 8237.45, 316.3, 413.8, 0.0
35, eco3, 43338, 9692.20, 429.4, 494.5, 0.0
35, eco1, 93059, 7554.46, 292.1, 468.0, 0.0
36, eco2, 51531, 8207.56, 313.2, 411.1, 0.0
36, eco3, 43338, 9683.81, 426.2, 492.1, 0.0
36, eco1, 93059, 7523.63, 288.4, 463.7, 0.0
37, eco2, 51531, 8177.34, 309.8, 408.3, 0.0
37, eco3, 43338, 9672.54, 422.6, 489.7, 0.0
37, eco1, 93059, 7493.15, 284.8, 459.5, 0.0
38, eco2, 51531, 8149.54, 306.4, 405.5, 0.0
38, eco3, 43338, 9661.41, 418.7, 487.1, 0.0
38, eco1, 93059, 7463.28, 280.6, 455.1, 0.0
39, eco2, 51531, 8124.79, 303.0, 402.7, 0.0
39, eco3, 43338, 9648.54, 414.4, 484.4, 0.0
39, eco1, 93059, 7433.49, 276.4, 450.7, 0.0
40, eco2, 51531, 7997.83, 295.6, 402.9, 0.0
40, eco3, 43338, 9446.52, 397.5, 483.1, 0.0
40, eco1, 93059, 7333.32, 268.8, 447.4, 0.0
41, eco2, 51531, 8006.33, 292.8, 398.3, 0.0
41, eco3, 43338, 9449.93, 392.4, 475.8, 0.0
41, eco1, 93059, 7314.55, 264.4, 441.6, 0.0
42, eco2, 51531, 8011.05, 287.9, 393.6, 0.0
42, eco3, 43338, 9452.39, 386.3, 469.0, 0.0
42, eco1, 93059, 7293.10, 259.2, 435.8, 0.0
43, eco2, 51531, 8010.48, 283.4, 389.0, 0.0
43, eco3, 43338, 9449.57, 379.9, 462.4, 0.0
43, eco1, 93059, 7268.64, 254.1, 429.9, 0.0
44, eco2, 51531, 8005.53, 278.6, 384.4, 0.0
44, eco3, 43338, 9440.68, 373.2, 456.0, 0.0
44, eco1, 93059, 7238.25, 248.8, 424.0, 0.0
45, eco2, 51531, 7997.52, 274.1, 379.8, 0.0
45, eco3, 43338, 9423.97, 366.2, 449.6, 0.0
45, eco1, 93059, 7202.88, 243.9, 418.1, 0.0
46, eco2, 51531, 7984.53, 269.4, 375.1, 0.0
46, eco3, 43338, 9401.49, 359.1, 443.2, 0.0
46, eco1, 93059, 7162.33, 239.3, 412.3, 0.0
47, eco2, 51531, 7972.46, 265.5, 370.6, 0.0
47, eco3, 43338, 9376.73, 352.3, 436.9, 0.0
47, eco1, 93059, 7119.85, 236.0, 407.0, 0.0
48, eco2, 51531, 7957.38, 261.7, 366.3, 0.0
48, eco3, 43338, 9347.12, 346.0, 430.7, 0.0
48, eco1, 93059, 7075.99, 233.5, 402.2, 0.0
49, eco2, 51531, 7938.32, 258.8, 362.2, 0.0
49, eco3, 43338, 9311.71, 340.3, 424.7, 0.0
49, eco1, 93059, 7031.97, 231.4, 397.9, 0.0
50, eco2, 51531, 7815.91, 253.8, 360.2, 0.0
50, eco3, 43338, 9158.38, 331.5, 420.6, 0.0
50, eco1, 93059, 6934.60, 229.0, 395.2, 0.0
51, eco2, 51531, 7796.81, 251.1, 355.4, 0.0
51, eco3, 43338, 9121.02, 326.4, 413.3, 0.0
51, eco1, 93059, 6891.86, 227.0, 391.2, 0.0
52, eco2, 51531, 7774.93, 248.2, 350.9, 0.0
52, eco3, 43338, 9080.48, 321.2, 406.5, 0.0
52, eco1, 93059, 6847.86, 224.9, 387.6, 0.0
53, eco2, 51531, 7752.85, 245.3, 346.6, 0.0
53, eco3, 43338, 9039.29, 315.8, 399.8, 0.0
53, eco1, 93059, 6804.62, 222.8, 384.1, 0.0
54, eco2, 51531, 7732.89, 242.3, 342.4, 0.0
54, eco3, 43338, 8996.56, 310.5, 393.3, 0.0
54, eco1, 93059, 6763.83, 220.6, 380.7, 0.0
55, eco2, 51531, 7712.80, 239.6, 338.4, 0.0
55, eco3, 43338, 8954.87, 305.1, 386.9, 0.0
55, eco1, 93059, 6723.39, 218.5, 377.4, 0.0
56, eco2, 51531, 7691.63, 236.6, 334.4, 0.0
56, eco3, 43338, 8914.56, 299.9, 380.4, 0.0
56, eco1, 93059, 6684.16, 216.2, 374.2, 0.0
57, eco2, 51531, 7671.28, 233.9, 330.4, 0.0
57, eco3, 43338, 8872.74, 294.5, 374.0, 0.0
57, eco1, 93059, 6646.70, 214.0, 371.1, 0.0
58, eco2, 51531, 7653.99, 231.2, 326.5, 0.0
58, eco3, 43338, 8831.23, 289.1, 367.5, 0.0
58, eco1, 93059, 6611.69, 211.9, 367.9, 0.0
59, eco2, 51531, 7638.35, 228.5, 322.7, 0.0
59, eco3, 43338, 8787.80, 283.6, 361.0, 0.0
59, eco1, 93059, 6578.49, 209.7, 364.8, 0.0
60, eco2, 51531, 7514.46, 225.0, 319.7, 0.0
60, eco3, 43338, 8583.19, 273.6, 355.5, 0.0
60, eco1, 93059, 6422.15, 201.4, 362.3, 0.0
61, eco2, 51531, 7426.79, 222.3, 315.8, 0.0
61, eco3, 43338, 8481.80, 268.6, 347.4, 0.0
61, eco1, 93059, 6332.53, 199.9, 357.9, 0.0
62, eco2, 51531, 7346.90, 219.8, 312.0, 0.0
62, eco3, 43338, 8383.42, 264.2, 339.9, 0.0
62, eco1, 93059, 6248.84, 198.3, 354.0, 0.0
