"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1411",122,"THOC2",80,858
"1412",122,"THOC2",85,447
"1413",122,"THOC2",90,1486
"1414",122,"THOC2",95,859
"1415",122,"THOC2",105,880
"1416",123,"ALIN2",5,1
"1417",123,"BEPA",10,1
"1418",123,"LALA",35,59
"1419",123,"PIMA",40,85
"1420",123,"PIST",45,256
"1421",123,"Shrub",5,214
"1422",124,"ACRU",5,1
"1423",124,"ACRU",10,10
"1424",124,"ACSA3",35,386
"1425",124,"ACSA3",40,141
"1426",124,"ACSA3",45,343
"1427",124,"ACSA3",50,205
"1428",124,"ACSA3",70,1103
"1429",124,"ACSA3",75,1607
"1430",124,"ACSA3",80,2228
"1431",124,"ACSA3",85,4511
"1432",124,"ACSA3",90,2190
"1433",124,"CRDO2",5,1
"1434",124,"QURU",10,85
"1435",124,"QURU",65,843
"1436",124,"QURU",75,1314
"1437",124,"QURU",80,1658
"1438",124,"QURU",85,2490
"1439",124,"Shrub",5,11
"1440",124,"SODE3",55,551
"1441",124,"THOC2",95,389
"1442",127,"ABBA",15,10
"1443",127,"BEPA",40,85
"1444",127,"BEPA",55,559
"1445",127,"PIGL",5,85
"1446",127,"PIGL",35,442
"1447",127,"PIGL",40,374
"1448",127,"PIGL",55,937
"1449",127,"PIGL",60,569
"1450",127,"PIGL",70,1613
"1451",127,"PIMA",60,173
"1452",127,"PRVI",5,1
"1453",127,"Shrub",5,87
"1454",127,"SODE3",5,1
"1455",128,"LALA",30,1
"1456",128,"PIMA",40,1
"1457",128,"Shrub",5,181
"1458",128,"THOC2",35,1
"1459",131,"Shrub",5,9
"1460",132,"POTR5",5,1
"1461",132,"Shrub",5,11
"1462",133,"ABBA",15,1
"1463",133,"ALIN2",10,253
"1464",133,"BEPA",10,1
"1465",133,"Shrub",5,10
"1466",133,"SODE3",5,1
"1467",133,"THOC2",35,1
"1468",134,"ABBA",15,85
"1469",134,"BEPA",10,10
"1470",134,"LALA",30,1
"1471",134,"Shrub",5,143
"1472",134,"SODE3",5,1
"1473",134,"THOC2",35,253
"1474",135,"ABBA",10,85
"1475",135,"ABBA",40,298
"1476",135,"ABBA",45,1040
"1477",135,"ABBA",50,791
"1478",135,"ABBA",55,921
"1479",135,"ABBA",70,838
"1480",135,"BEPA",50,223
"1481",135,"BEPA",60,686
"1482",135,"BEPA",65,494
"1483",135,"BEPA",70,2033
"1484",135,"BEPA",75,1791
"1485",135,"BEPA",85,2391
"1486",135,"Shrub",5,93
"1487",135,"SODE3",50,174
"1488",135,"SODE3",55,274
"1489",136,"ALIN2",10,462
"1490",136,"Shrub",5,137
"1491",136,"SODE3",5,1
"1492",137,"ABBA",15,10
"1493",137,"PRVI",5,10
"1494",137,"Shrub",5,264
"1495",137,"SODE3",55,122
"1496",138,"ABBA",40,239
"1497",138,"ABBA",45,701
"1498",138,"ABBA",50,2576
"1499",138,"ABBA",55,3691
"1500",138,"ABBA",60,1792
"1501",138,"ABBA",65,639
"1502",138,"Shrub",5,298
"1503",138,"SODE3",50,305
"1504",138,"SODE3",55,222
"1505",140,"Shrub",5,178
"1506",140,"SODE3",5,10
"1507",141,"Shrub",5,379
"1508",141,"SODE3",10,85
"1509",142,"ABBA",40,59
"1510",142,"ABBA",45,568
"1511",142,"ABBA",50,547
"1512",142,"ABBA",55,556
"1513",142,"ABBA",65,702
"1514",142,"ABBA",70,1071
"1515",142,"PRVI",5,1
"1516",142,"Shrub",5,259
"1517",142,"SODE3",5,85
"1518",143,"ABBA",15,1
"1519",143,"ALIN2",10,85
"1520",143,"Shrub",5,40
"1521",143,"SODE3",5,1
"1522",144,"ABBA",45,151
"1523",144,"ABBA",50,191
"1524",144,"ABBA",60,422
"1525",144,"Shrub",5,255
"1526",144,"Shrub",10,132
"1527",144,"SODE3",5,11
"1528",146,"ABBA",15,10
"1529",146,"ACSP2",10,462
"1530",146,"BEPA",40,192
"1531",146,"BEPA",60,390
"1532",146,"BEPA",65,494
"1533",146,"BEPA",70,613
"1534",146,"BEPA",85,1149
"1535",146,"BEPA",90,1439
"1536",146,"PIGL",45,264
"1537",146,"PIGL",55,891
"1538",146,"Shrub",5,124
"1539",146,"SODE3",55,3351
"1540",146,"THOC2",35,1
"1541",149,"ABBA",15,1
"1542",149,"PIMA",40,1
"1543",149,"Shrub",5,34
"1544",152,"ABBA",15,85
"1545",152,"ABBA",40,298
"1546",152,"ABBA",45,831
"1547",152,"ABBA",50,985
"1548",152,"ABBA",55,445
"1549",152,"ABBA",60,422
"1550",152,"ABBA",65,2111
"1551",152,"BEPA",130,5029
"1552",152,"Shrub",5,5
"1553",152,"SODE3",5,1
"1554",152,"THOC2",55,89
"1555",152,"THOC2",95,1288
"1556",152,"THOC2",100,2386
"1557",152,"THOC2",105,1702
"1558",152,"THOC2",110,2077
"1559",152,"THOC2",115,1211
"1560",153,"ABBA",15,1
"1561",153,"ACSP2",10,1
"1562",153,"BEPA",40,192
"1563",153,"BEPA",45,159
"1564",153,"BEPA",50,189
"1565",153,"BEPA",55,819
"1566",153,"BEPA",90,1545
"1567",153,"PIBA2",10,1
"1568",153,"PIGL",25,67
"1569",153,"POTR5",5,1
"1570",153,"Shrub",5,7
"1571",153,"Shrub",10,32
"1572",153,"THOC2",35,1
"1573",154,"ABBA",15,253
"1574",154,"ABBA",45,114
"1575",154,"ABBA",65,580
"1576",154,"BEPA",50,635
"1577",154,"BEPA",55,299
"1578",154,"BEPA",70,613
"1579",154,"BEPA",75,746
"1580",154,"BEPA",85,1338
"1581",154,"POTR5",90,2418
"1582",154,"Shrub",5,138
"1583",154,"SODE3",5,1
"1584",155,"Shrub",5,54
"1585",156,"ABBA",10,253
"1586",156,"BEPA",40,107
"1587",156,"BEPA",45,290
"1588",156,"PIGL",10,1
"1589",156,"PIST",30,53
"1590",156,"PIST",35,83
"1591",156,"PIST",40,195
"1592",156,"PIST",45,675
"1593",156,"PIST",50,1933
"1594",156,"PIST",55,2975
"1595",156,"PIST",65,1828
"1596",156,"PIST",75,1574
"1597",156,"PIST",80,3754
"1598",156,"POTR5",5,1
"1599",156,"Shrub",5,13
"1600",156,"SODE3",5,10
"1601",164,"ABBA",15,10
"1602",164,"PIGL",10,10
"1603",164,"Shrub",5,128
"1604",165,"ABBA",15,10
"1605",165,"ABBA",65,580
"1606",165,"BEPA",50,602
"1607",165,"BEPA",55,259
"1608",165,"BEPA",60,343
"1609",165,"BEPA",70,613
"1610",165,"BEPA",75,746
"1611",165,"BEPA",80,2036
"1612",165,"BEPA",90,1545
"1613",165,"PIBA2",85,1574
"1614",165,"PIGL",25,67
"1615",165,"PIGL",55,379
"1616",165,"Shrub",5,44
"1617",165,"SODE3",5,1
"1618",166,"ABBA",15,1
"1619",166,"ABBA",40,59
"1620",166,"ABBA",45,75
"1621",166,"ABBA",50,191
"1622",166,"BEAL2",10,1
"1623",166,"PIGL",10,10
"1624",166,"PIGL",25,403
"1625",166,"PIGL",30,251
"1626",166,"PIGL",40,201
"1627",166,"PIGL",45,496
"1628",166,"PIGL",50,677
"1629",166,"PIGL",55,468
"1630",166,"PIGL",60,517
"1631",166,"PIGL",75,1421
"1632",166,"PIGL",80,1704
"1633",166,"POTR5",60,653
"1634",166,"POTR5",65,847
"1635",166,"Shrub",5,150
"1636",167,"PIBA2",10,1
"1637",167,"PIGL",30,83
"1638",167,"PIGL",65,681
"1639",167,"Shrub",5,176
"1640",167,"Shrub",10,5
"1641",168,"ACRU",55,1629
"1642",168,"ACRU",60,1271
"1643",168,"ACRU",65,613
"1644",168,"BEPA",60,343
"1645",168,"PIGL",30,83
"1646",168,"PIGL",35,123
"1647",168,"POTR5",35,103
"1648",168,"Shrub",5,82
"1649",172,"ABBA",10,1
"1650",172,"PIGL",35,147
"1651",172,"Shrub",5,228
"1652",173,"BEAL2",5,10
"1653",173,"Shrub",5,12
"1654",174,"ABBA",10,1
"1655",174,"ACSP2",5,10
"1656",174,"PIGL",50,300
"1657",174,"Shrub",5,174
"1658",174,"SODE3",5,10
"1659",176,"ABBA",45,93
"1660",176,"ACSP2",5,10
"1661",176,"BEPA",45,131
"1662",176,"BEPA",50,791
"1663",176,"BEPA",55,1079
"1664",176,"BEPA",60,1076
"1665",176,"BEPA",65,494
"1666",176,"BEPA",75,819
"1667",176,"PIGL",35,147
"1668",176,"PIGL",40,402
"1669",176,"PIGL",45,264
"1670",176,"PIGL",50,300
"1671",176,"PIGL",55,379
"1672",176,"PIGL",60,517
"1673",176,"POTR5",60,714
"1674",176,"Shrub",5,60
"1675",176,"SODE3",5,1
"1676",176,"THOC2",35,1
"1677",178,"ABBA",15,1
"1678",178,"BEPA",5,1
"1679",178,"PIBA2",30,67
"1680",178,"PIBA2",35,122
"1681",178,"PIBA2",40,144
"1682",178,"PIBA2",45,450
"1683",178,"PIBA2",60,453
"1684",178,"PIBA2",65,2317
"1685",178,"PIBA2",70,846
"1686",178,"PIBA2",80,1301
"1687",178,"PIGL",25,67
"1688",178,"PIST",5,1
"1689",178,"Shrub",5,110
"1690",178,"SODE3",5,1
"1691",178,"THOC2",35,1
"1692",179,"ABBA",10,1
"1693",179,"PIGL",30,186
"1694",179,"PIGL",40,201
"1695",179,"PIGL",60,517
"1696",179,"PIGL",70,805
"1697",179,"PIRE",25,151
"1698",179,"PIRE",30,388
"1699",179,"PIRE",35,338
"1700",179,"PIRE",45,1555
"1701",179,"PIRE",50,453
"1702",179,"PIRE",55,1209
"1703",179,"PIRE",65,914
"1704",179,"PIRE",85,1985
"1705",179,"PIRE",90,2331
"1706",179,"PIST",35,101
"1707",179,"PIST",40,391
"1708",179,"PIST",45,256
"1709",179,"PIST",50,327
"1710",179,"POTR5",35,124
"1711",179,"POTR5",45,236
"1712",179,"POTR5",50,658
"1713",179,"PRVI",5,1
"1714",179,"Shrub",5,72
"1715",180,"ACRU",35,85
"1716",180,"ACRU",40,107
"1717",180,"ACRU",45,537
"1718",180,"BEPA",60,343
"1719",180,"PIGL",30,205
"1720",180,"Shrub",5,4
"1721",180,"Shrub",10,32
"1722",180,"SODE3",5,1
"1723",181,"ACRU",35,1111
"1724",181,"ACRU",40,716
"1725",181,"ACRU",45,1204
"1726",181,"ACRU",50,669
"1727",181,"ACRU",55,1629
"1728",181,"ACRU",60,390
"1729",181,"ACRU",70,746
"1730",181,"BEPA",40,321
"1731",181,"BEPA",70,613
"1732",181,"Shrub",5,11
"1733",181,"Shrub",10,133
"1734",181,"SODE3",5,1
