#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1999-04-23T00:00:00Z,0,0,0
1999-04-24T00:00:00Z,0,0,0
1999-04-25T00:00:00Z,0,0,0
1999-04-26T00:00:00Z,0,0,0
1999-04-27T00:00:00Z,0,0,0
1999-04-28T00:00:00Z,0,0,0
1999-04-29T00:00:00Z,0,0,0
1999-04-30T00:00:00Z,0,0,0
1999-05-01T00:00:00Z,0,0,0
1999-05-02T00:00:00Z,0,0,0
1999-05-03T00:00:00Z,0,0,0
1999-05-04T00:00:00Z,0,0,0
1999-05-05T00:00:00Z,5.9811964,1296.154,36.002138
1999-05-06T00:00:00Z,23.033333,562.27584,23.712356
1999-05-07T00:00:00Z,17.048717,75.18302,8.6708146
1999-05-08T00:00:00Z,0.44615385,12.526526,3.5392833
1999-05-09T00:00:00Z,2.7102563,212.09283,14.563408
1999-05-10T00:00:00Z,4.6042733,659.1102,25.673141
1999-05-11T00:00:00Z,0.33076924,10.697613,3.2707205
1999-05-12T00:00:00Z,0,0,0
1999-05-13T00:00:00Z,0,0,0
1999-05-14T00:00:00Z,0,0,0
1999-05-15T00:00:00Z,0.77179486,36.342174,6.028447
1999-05-16T00:00:00Z,2.9418802,1.5730917,1.2542295
1999-05-17T00:00:00Z,12.795727,1241.3861,35.23331
1999-05-18T00:00:00Z,1.7188034,55.11951,7.4242514
1999-05-19T00:00:00Z,0.34786326,3.9241083,1.9809362
1999-05-20T00:00:00Z,6.7905984,30.81005,5.55068
1999-05-21T00:00:00Z,1.325641,2.209549,1.4864552
1999-05-22T00:00:00Z,7.253846,380.4748,19.505763
1999-05-23T00:00:00Z,14.417094,648.19465,25.459666
1999-05-24T00:00:00Z,2.297436,30.370027,5.5109006
1999-05-25T00:00:00Z,3.6068375,19.667698,4.434828
1999-05-26T00:00:00Z,0,0,0
1999-05-27T00:00:00Z,0,0,0
1999-05-28T00:00:00Z,0,0,0
1999-05-29T00:00:00Z,0,0,0
1999-05-30T00:00:00Z,0,0,0
1999-05-31T00:00:00Z,4.865812,116.31315,10.784857
1999-06-01T00:00:00Z,1.9547008,39.094755,6.2525797
1999-06-02T00:00:00Z,0,0,0
1999-06-03T00:00:00Z,0,0,0
1999-06-04T00:00:00Z,0.007692308,0.22679046,0.4762252
1999-06-05T00:00:00Z,5.9786325,289.23843,17.007011
1999-06-06T00:00:00Z,3.8666666,98.82759,9.9412066
1999-06-07T00:00:00Z,4.34359,582.33423,24.131603
1999-06-08T00:00:00Z,0.1897436,9.782493,3.1276977
1999-06-09T00:00:00Z,1.1974359,49.594164,7.0423126
1999-06-10T00:00:00Z,3.0811965,18.171234,4.262773
1999-06-11T00:00:00Z,14.5717945,237.34217,15.405914
1999-06-12T00:00:00Z,0.2,2.3275862,1.5256429
1999-06-13T00:00:00Z,0,0,0
1999-06-14T00:00:00Z,0,0,0
1999-06-15T00:00:00Z,0.64529914,3.6292367,1.9050555
1999-06-16T00:00:00Z,0.31282052,5.526525,2.3508562
1999-06-17T00:00:00Z,0,0,0
1999-06-18T00:00:00Z,0,0,0
1999-06-19T00:00:00Z,0.6752137,0.8949308,0.9460078
1999-06-20T00:00:00Z,0.015384615,0.44164457,0.6645634
1999-06-21T00:00:00Z,0,0,0
1999-06-22T00:00:00Z,5.486325,106.82596,10.335665
1999-06-23T00:00:00Z,7.477778,179.50191,13.397832
1999-06-24T00:00:00Z,0.41452992,45.52181,6.7469853
1999-06-25T00:00:00Z,0,0,0
1999-06-26T00:00:00Z,1.9290599,27.82862,5.2752835
1999-06-27T00:00:00Z,1.0427351,21.005452,4.5831704
1999-06-28T00:00:00Z,4.6076922,29.33024,5.41574
1999-06-29T00:00:00Z,0.005128205,0.15251989,0.39053794
1999-06-30T00:00:00Z,6.6307693,27.04244,5.2002347
1999-07-01T00:00:00Z,1.7965811,11.722959,3.4238806
1999-07-02T00:00:00Z,1.4615384,167.72149,12.950733
1999-07-03T00:00:00Z,11.888889,1245.6859,35.294275
1999-07-04T00:00:00Z,28.169231,701.33553,26.48274
1999-07-05T00:00:00Z,19.88889,660.73756,25.704815
1999-07-06T00:00:00Z,0,0,0
1999-07-07T00:00:00Z,0.82905984,2.242411,1.4974682
1999-07-08T00:00:00Z,12.71282,461.45754,21.481564
1999-07-09T00:00:00Z,14.646153,1108.5265,33.294542
1999-07-10T00:00:00Z,0.012820513,0.3713528,0.60938723
1999-07-11T00:00:00Z,0,0,0
1999-07-12T00:00:00Z,0.5726496,3.8900677,1.9723254
1999-07-13T00:00:00Z,0.26495728,10.695107,3.2703376
1999-07-14T00:00:00Z,5.2495728,87.44179,9.351032
1999-07-15T00:00:00Z,0.9444444,26.369733,5.135147
1999-07-16T00:00:00Z,8.646153,52.612734,7.253463
1999-07-17T00:00:00Z,0,0,0
