Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
120, eco1,93059,88.31849687,1.373214842,34.46671466,1.462867643,4396.797387,2.216819437,1.629708035,19.52530115,0.018955716,36.74491452,2821.34448,0,0,0, ,8218831,127790,3207438,136133,409161568,206295,151659,1817005,1764,3419445,262551496,0,0,0,,109.9696533,0.765974203,91.41002937,1.839023456,4455.743359,1.185789238,2.096372015,28.84901132,0.030612788,39.67725405,3101.872334,0,0,0
130, eco1,93059,68.52979293,0.86599899,28.9791745,0.8521798,4468.052042,1.609978616,1.152849268,17.85184668,0.014506926,36.28608732,3133.114691,0,0,0, ,6377314,80589,2696773,79303,415792455,149823,107283,1661275,1350,3376747,291564520,0,0,0,,87.69547912,0.49139032,74.00848729,0.901307948,4610.749691,0.878533268,1.435475288,24.66885722,0.032150611,39.38603082,3419.256061,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1122.640663,127.9561041,692.8561837,966.7838583,2928.540839,0.00304671,2152.601521,624.8036716,113.3643826,39.58712231,1495.582057,0.060837166,0.001668898,0, ,57850796,6593706,35703572,49819339,150910638,157,110925709,32196758,5841780,2039964,77068839,3135,86,0,,,,,,,,,,,,,,,
20, eco2,51531,948.8136462,73.99992238,565.5101201,656.5699482,3260.911742,0.00304671,1507.041451,384.819235,68.04232404,39.68063884,1558.433467,0.017077099,0.001668898,0, ,48893316,3813290,29141302,33833706,168038043,157,77659353,19830120,3506289,2044783,80307635,880,86,0,,,,,,,,,,,,,,,
30, eco2,51531,811.0763036,46.76812016,438.8200307,497.9802255,3530.750053,0.00304671,1040.712134,229.4799635,25.82503736,39.7521686,1550.90202,0,0,0, ,41795573,2410008,22612835,25661419,181943081,157,53628937,11825332,1330790,2048469,79919532,0,0,0,,,,,,,,,,,,,,,
40, eco2,51531,674.3090179,28.73328676,405.6466981,336.7833149,3758.16491,0.00304671,789.263977,135.3918224,17.44287904,41.85212785,1545.508083,0,0,0, ,34747818,1480655,20903380,17354781,193661996,157,40671562,6976876,898849,2156682,79641577,0,0,0,,,,,,,,,,,,,,,
50, eco2,51531,548.3529332,16.2320933,432.81842,298.1084784,4126.873746,0.00304671,491.2501601,89.31297665,13.31507248,48.93764918,1657.186218,0,0,0, ,28257175,836456,22303566,15361828,212661931,157,25314612,4602387,686139,2521806,85396463,0,0,0,,,,,,,,,,,,,,,
60, eco2,51531,421.2486076,8.972016844,442.2036056,227.3976829,4353.256409,0.00304671,178.9701539,70.83231453,7.095554132,55.03413479,1760.153674,0,0,0, ,21707362,462337,22787194,11718030,224327656,157,9222511,3650060,365641,2835964,90702479,0,0,0,,,,,,,,,,,,,,,
70, eco2,51531,328.0393744,3.616366847,443.4315072,145.4742582,4638.915333,0.00304671,72.55715977,59.67035377,4.938328385,69.29997477,2007.574256,0,0,0, ,16904197,186355,22850469,7496434,239047946,157,3738943,3074873,254477,3571097,103452309,0,0,0,,,,,,,,,,,,,,,
