Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
110, eco1,93059,260.1126705,4.658926058,69.09058769,31.1618758,4329.409966,2.521163993,18.55506722,21.17068741,1.067978379,28.41510225,2478.755789,0,0,0, ,24205825,433555,6429501,2899893,402890562,234617,1726716,1970123,99385,2644281,230670535,0,0,0,,297.5419788,4.84801094,180.4557118,31.76789515,4288.207303,1.338379592,33.37165829,32.97174982,1.880039164,30.21030395,2738.072373,0,0,0
120, eco1,93059,186.5742486,3.321323032,60.43358514,15.05424516,4205.089717,1.860260695,15.51513556,20.84708626,0.544095681,27.59286044,2695.807488,0,0,0, ,17362413,309079,5623889,1400933,391321444,173114,1443823,1940009,50633,2567764,250869149,0,0,0,,223.7990826,3.51013154,165.6628124,15.99812162,4241.531485,0.99251309,31.11321889,33.8170842,1.188008173,28.07830126,2952.507535,0,0,0
130, eco1,93059,181.5035085,2.018923479,53.43260727,12.91156148,4329.605444,1.41322172,15.80773488,19.72403529,0.461502918,27.33876358,3036.869674,0,0,0, ,16890535,187879,4972385,1201537,402908753,131513,1471052,1835499,42947,2544118,282608055,0,0,0,,218.483797,2.268209101,142.4128177,13.30141331,4411.887962,0.756640841,31.70434954,29.3888883,0.970451449,27.54774701,3275.073406,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1194.122043,146.4948672,704.2504124,1038.908638,2917.52939,0.00304671,2184.337467,689.8427354,112.5920902,39.59459355,1489.281171,0.076070715,0.001668898,0, ,61534303,7549027,36290728,53536001,150343207,157,112561094,35548286,5801983,2040349,76744148,3920,86,0,,,,,,,,,,,,,,,
20, eco2,51531,1093.462867,98.71386156,696.299412,877.6086627,3208.743844,0.00304671,1813.390445,437.3317809,50.05854728,39.66356174,1492.704993,0.033009257,0.001668898,0, ,56347235,5086824,35881005,45224052,165349779,157,93445823,22536144,2579567,2043903,76920581,1701,86,0,,,,,,,,,,,,,,,
30, eco2,51531,863.0484951,60.20104403,612.5086453,691.4393666,3392.83474,0.00304671,1303.527197,249.8201471,19.24800605,38.85946324,1457.314878,1.94E-05,0.041508995,0, ,44473752,3102220,31563183,35630562,174836167,157,67172060,12873482,991869,2002467,75096893,1,2139,0,,,,,,,,,,,,,,,
40, eco2,51531,685.5566358,45.07164619,563.9246861,519.7142303,3621.881489,0.00304671,1018.190157,160.4167782,16.06502882,39.38600066,1463.389416,0,0.010653781,0, ,35327419,2322587,29059603,26781394,186639175,157,52468357,8266437,827847,2029600,75409920,0,549,0,,,,,,,,,,,,,,,
50, eco2,51531,661.3914537,37.22025577,608.3309658,460.1240418,3932.767363,0.00304671,603.0705789,114.2455415,14.36902059,42.45287303,1535.510722,0,0.009819332,0, ,34082163,1917997,31347903,23710652,202659435,157,31076830,5887187,740450,2187639,79126403,0,506,0,,,,,,,,,,,,,,,
60, eco2,51531,622.0464187,31.60210359,656.3464128,357.358852,4186.992335,0.00304671,223.5112263,91.35110904,8.827016747,46.68715919,1635.547205,0,0.000155246,0, ,32054674,1628488,33822187,18415059,215759902,157,11517757,4707414,454865,2405836,84281383,0,8,0,,,,,,,,,,,,,,,
70, eco2,51531,632.575246,24.92604452,674.7988395,234.4721236,4447.694165,0.021055287,101.3233782,80.99842813,11.33799072,55.20513865,1866.291824,0,7.76E-05,0, ,32597235,1284464,34773059,12082583,229194128,1085,5221295,4173930,584258,2844776,96171884,0,4,0,,,,,,,,,,,,,,,
80, eco2,51531,633.5657177,18.08678271,678.0744406,129.3586191,4536.479983,0.021055287,73.91467272,79.82086511,8.549300421,58.64485455,2134.476063,0,1.94E-05,0, ,32648275,932030,34941854,6665979,233769350,1085,3808897,4113249,440554,3022028,109991686,0,1,0,,,,,,,,,,,,,,,
90, eco2,51531,591.5689973,12.91822398,592.1126118,72.21788826,4443.939978,0.020861229,45.23917642,51.65277212,6.356173954,54.09182822,2357.653199,0,1.94E-05,0, ,30484142,665689,30512155,3721460,229000671,1075,2331220,2661719,327540,2787406,121492227,0,1,0,,,,,,,,,,,,,,,
100, eco2,51531,535.0704624,11.27325299,522.4892007,50.21598649,4428.034329,0.020511925,38.16036949,39.90312627,5.238749491,48.38008189,2610.457938,0,1.94E-05,0, ,27572716,580922,26924391,2587680,228181037,1057,1966442,2056248,269958,2493074,134519508,0,1,0,,,,,,,,,,,,,,,
110, eco2,51531,291.3624226,8.912867982,485.1928742,28.26760591,4297.440143,0.020007374,35.00184355,57.43280744,3.317284741,41.28811783,2798.499078,0,0,0, ,15014197,459289,25002474,1456658,221451388,1031,1803680,2959570,170943,2127618,144209456,0,0,0,,,,,,,,,,,,,,,
120, eco2,51531,202.6783295,6.525237236,447.8997885,16.6018125,4276.900177,0.019522229,35.1932429,59.41734102,2.228891347,35.94123925,3044.229182,0,0,0, ,10444217,336252,23080724,855508,220392943,1006,1813543,3061835,114857,1852088,156872174,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,196.2910287,4.433331393,384.668452,15.0475442,4451.87883,0.018940056,39.09149832,49.748171,1.85247715,34.51790185,3384.14665,0,0,0, ,10115073,228454,19822350,775415,229409768,976,2014424,2563573,95460,1778742,174388461,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
10, eco3,43338,882.3826896,13.81669666,81.47316443,731.1823573,2411.034796,0.648414786,1833.729983,637.8324104,130.1045734,17.69020259,3580.894019,0.034173243,9.23E-05,0.007153076, ,38240701,598788,3530884,31687981,104489426,28101,79470190,27642381,5638472,766658,155188785,1481,4,310,,,,,,,,,,,,,,,
20, eco3,43338,869.5425954,9.378120818,86.06650053,605.0554017,2670.297683,0.648414786,1643.46818,425.082145,53.8132355,17.79588352,3879.88142,0.015921362,0.000115372,0.003668836, ,37684237,406429,3729950,26221891,115725361,28101,71224624,18422210,2332158,771238,168146301,690,5,159,,,,,,,,,,,,,,,
30, eco3,43338,757.7886612,4.384766256,72.82904149,471.0335272,2864.726868,0.656029351,1386.272694,224.7734552,15.96017352,17.78321565,4031.079999,0.00083068,0.000138447,0.000323042, ,32841045,190027,3156265,20413651,124151533,28431,60078286,9741232,691682,770689,174698945,36,6,14,,,,,,,,,,,,,,,
