Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10586.15, 1.0, 469.7, 0.0
0, eco3, 43338, 9794.14, 1.3, 455.6, 0.0
0, eco1, 93059, 9314.32, 0.5, 537.3, 0.0
1, eco2, 51531, 10685.87, 416.9, 471.4, 0.0
1, eco3, 43338, 9938.87, 454.0, 459.9, 0.0
1, eco1, 93059, 9410.79, 391.7, 540.4, 0.0
2, eco2, 51531, 10701.82, 415.1, 472.3, 0.0
2, eco3, 43338, 10021.24, 454.9, 463.2, 0.0
2, eco1, 93059, 9434.21, 390.5, 542.5, 0.0
3, eco2, 51531, 10710.88, 413.4, 472.5, 0.0
3, eco3, 43338, 10092.68, 455.8, 466.0, 0.0
3, eco1, 93059, 9451.11, 389.3, 544.0, 0.0
4, eco2, 51531, 10675.90, 412.2, 472.6, 0.0
4, eco3, 43338, 10130.90, 457.1, 468.7, 0.0
4, eco1, 93059, 9448.44, 388.2, 545.0, 0.0
5, eco2, 51531, 10633.04, 411.3, 472.6, 0.0
5, eco3, 43338, 10160.54, 458.8, 471.4, 0.0
5, eco1, 93059, 9431.72, 387.0, 545.7, 0.0
6, eco2, 51531, 10583.18, 409.9, 472.6, 0.0
6, eco3, 43338, 10179.15, 460.2, 474.1, 0.0
6, eco1, 93059, 9400.65, 385.8, 546.1, 0.0
7, eco2, 51531, 10519.03, 408.2, 472.4, 0.0
7, eco3, 43338, 10189.94, 461.1, 476.7, 0.0
7, eco1, 93059, 9358.44, 383.8, 546.1, 0.0
8, eco2, 51531, 10449.06, 405.7, 471.9, 0.0
8, eco3, 43338, 10194.96, 460.9, 478.8, 0.0
8, eco1, 93059, 9312.36, 380.0, 545.1, 0.0
9, eco2, 51531, 10370.66, 403.4, 471.3, 0.0
9, eco3, 43338, 10189.24, 461.5, 481.0, 0.0
9, eco1, 93059, 9254.45, 378.4, 544.3, 0.0
10, eco2, 51531, 10126.63, 395.9, 474.0, 0.0
10, eco3, 43338, 10136.44, 459.9, 484.0, 0.0
10, eco1, 93059, 9154.93, 374.7, 543.9, 0.0
11, eco2, 51531, 10041.00, 394.2, 471.2, 0.0
11, eco3, 43338, 10122.42, 460.2, 485.3, 0.0
11, eco1, 93059, 9086.15, 372.4, 542.1, 0.0
12, eco2, 51531, 9946.35, 391.7, 468.8, 0.0
12, eco3, 43338, 10106.87, 460.3, 486.7, 0.0
12, eco1, 93059, 9020.84, 370.0, 540.3, 0.0
13, eco2, 51531, 9852.74, 389.2, 466.7, 0.0
13, eco3, 43338, 10088.08, 460.3, 488.1, 0.0
13, eco1, 93059, 8951.89, 367.8, 538.6, 0.0
14, eco2, 51531, 9765.95, 386.6, 464.9, 0.0
