TIMESTEP,MEAN(C),VARIANCE(C^2),STD_DEV(C)
1979-01-01T00:00:00Z,-13.397,0.7316505,0.8553657
1979-01-02T00:00:00Z,-14.59275,1.0112615,1.005615
1979-01-03T00:00:00Z,-11.89188,0.5407309,0.73534405
1979-01-04T00:00:00Z,-14.31153,0.8880769,0.94237834
1979-01-05T00:00:00Z,-11.2218,1.0208355,1.010364
1979-01-06T00:00:00Z,-11.31153,0.48290452,0.6949133
1979-01-07T00:00:00Z,-12.14487,0.19859417,0.44563904
1979-01-08T00:00:00Z,-9.7372,0.24854112,0.49853897
1979-01-09T00:00:00Z,-11.99274,0.351089,0.5925276
1979-01-10T00:00:00Z,-15.65684,0.25029767,0.5002976
1979-01-11T00:00:00Z,-14.07563,0.1334748,0.36534202
1979-01-12T00:00:00Z,-11.49018,0.198631,0.44568038
1979-01-13T00:00:00Z,-11.70725,0.7109166,0.8431587
1979-01-14T00:00:00Z,-17.36881,0.22912614,0.47867122
1979-01-15T00:00:00Z,-14.85258,0.22094165,0.4700443
1979-01-16T00:00:00Z,-16.61753,0.30014294,0.54785305
1979-01-17T00:00:00Z,-9.47394,0.3163189,0.56242234
1979-01-18T00:00:00Z,-11.43888,0.32427204,0.5694489
1979-01-19T00:00:00Z,-3.5107,0.18275125,0.42749417
1979-01-20T00:00:00Z,-2.04145,0.28923666,0.5378073
1979-01-21T00:00:00Z,-1.90043,0.19390067,0.44034153
1979-01-22T00:00:00Z,-5.22266,0.15114206,0.38876992
1979-01-23T00:00:00Z,-8.2064,0.19661804,0.44341633
1979-01-24T00:00:00Z,-8.32862,0.38410845,0.61976486
1979-01-25T00:00:00Z,-9.67563,0.29830238,0.54617065
1979-01-26T00:00:00Z,-5.70554,0.5624904,0.7499936
1979-01-27T00:00:00Z,-0.69272,0.2624683,0.51231664
1979-01-28T00:00:00Z,-3.46967,0.17331712,0.41631374
1979-01-29T00:00:00Z,-4.81324,0.2869997,0.5357235
1979-01-30T00:00:00Z,-6.68503,0.2059166,0.45378032
1979-01-31T00:00:00Z,-6.5406,0.06344533,0.25188357
1979-02-01T00:00:00Z,-8.66794,0.06786472,0.2605086
1979-02-02T00:00:00Z,-6.23463,0.23700266,0.4868292
1979-02-03T00:00:00Z,-6.397,0.18113321,0.4255975
1979-02-04T00:00:00Z,-8.13547,0.18539052,0.43056998
