Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
120, eco1,93059,1.25053998,3.60564803,25.33448672,0.415757745,2523.778334,2.161359997,4.938136021,0.530598867,0.012432973,19.97200701,920.8675679,0,2.15E-05,0, ,116374,335538,2357602,38690,234860288,201134,459538,49377,1157,1858575,85695015,0,2,0,,1.408752288,4.053541782,69.15759227,1.441695756,2517.207888,1.235584905,12.14502895,0.75556064,0.093855093,33.23928313,1201.502693,0,1.06424E-05,0
130, eco1,93059,0.450585113,2.327566383,20.54237634,0.256665126,2340.071342,1.678128929,4.281477342,0.304914087,0.012916537,19.59837308,915.7749922,0,3.22E-05,0, ,41931,216601,1911653,23885,217764699,156165,398430,28375,1202,1823805,85221105,0,3,0,,0.451327104,2.668202716,55.6009642,0.73009344,2369.716216,0.993625218,10.26670321,0.39540143,0.066227491,32.68970031,1177.05542,0,1.59636E-05,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1176.414954,140.0276144,705.2609109,1033.800935,2917.354816,0.00304671,2179.357668,658.1682094,113.3054084,39.5569269,1484.951524,0.11125342,0.011604665,0, ,60621839,7215763,36342800,53272796,150334211,157,112304480,33916066,5838741,2038408,76521037,5733,598,0,,,,,,,,,,,,,,,
20, eco2,51531,1009.553647,81.36085075,672.2669073,787.8155673,3227.993363,0.00304671,1731.736081,414.4193786,55.8228445,39.51378782,1517.824494,0.026954649,0.00170771,0, ,52023309,4192606,34642586,40596924,166341726,157,89238092,21355445,2876607,2036185,78215014,1389,88,0,,,,,,,,,,,,,,,
30, eco2,51531,823.9959248,53.32223322,510.7315014,564.3828957,3468.769498,0.00304671,1118.300906,249.8097844,19.82160253,39.12534203,1512.504958,1.94E-05,0.040519299,0, ,42461334,2747748,26318505,29083215,178749161,157,57627164,12872948,1021427,2016168,77940893,1,2088,0,,,,,,,,,,,,,,,
40, eco2,51531,678.8030312,40.11996662,441.6294269,402.1136209,3764.421125,0.00304671,888.7884768,161.7225554,15.35578584,40.52137548,1536.645864,0,0.020065592,0, ,34979399,2067422,22757606,20721317,193984385,157,45800159,8333725,791299,2088107,79184898,0,1034,0,,,,,,,,,,,,,,,
50, eco2,51531,566.04605,34.94079292,468.6391687,354.0958452,4067.814112,0.00304671,526.5639712,108.1900992,13.69486329,46.46230424,1629.502086,0,0.009334187,0, ,29168919,1800534,24149445,18246913,209618529,157,27134368,5575144,705710,2394249,83969872,0,481,0,,,,,,,,,,,,,,,
60, eco2,51531,437.5331742,28.85738682,475.3460247,274.1142225,4284.171644,0.00304671,181.5908288,83.10269546,6.496206167,51.94017194,1689.081718,0,0,0, ,22546522,1487050,24495056,14125380,220767649,157,9357557,4282365,334756,2676529,87040070,0,0,0,,,,,,,,,,,,,,,
70, eco2,51531,286.7767169,25.25972715,404.3713299,136.6552172,4037.557606,0.00304671,53.64846403,53.29308572,3.7009373,53.29098989,1520.626419,0,0,0, ,14777891,1301659,20837659,7041980,208059381,157,2764559,2746246,190713,2746138,78359400,0,0,0,,,,,,,,,,,,,,,
80, eco2,51531,177.9256758,19.26372475,388.9714541,49.37963556,3743.699288,0.003027304,36.27164231,38.65548893,2.284450137,57.29927616,1434.925365,0,0,0, ,9168688,992679,20044088,2544582,192916568,156,1869114,1991956,117720,2952689,73943139,0,0,0,,,,,,,,,,,,,,,
90, eco2,51531,90.66427975,14.6865382,354.5365314,11.40853079,3388.128292,0.002988492,20.35415575,17.5472046,1.170538123,58.10232675,1362.192583,0,0,0, ,4672021,756812,18269622,587893,174593639,154,1048870,904225,60319,2994071,70195146,0,0,0,,,,,,,,,,,,,,,
100, eco2,51531,53.63090179,12.01331238,310.1005996,5.614562108,3019.866837,0.002794434,14.40839495,10.3851274,0.789874056,61.51852283,1298.99315,0,0,0, ,2763654,619058,15979794,289324,155616758,144,742479,535156,40703,3170111,66938416,0,0,0,,,,,,,,,,,,,,,
110, eco2,51531,10.1932235,9.261551299,226.5435369,2.501193456,2725.189925,0.002367507,10.77892919,2.753546409,0.444955464,54.61279618,1283.518018,0,0.006578564,0, ,525267,477257,11674015,128889,140431762,122,555449,141893,22929,2814252,66140967,0,339,0,,,,,,,,,,,,,,,
120, eco2,51531,1.465273331,7.701267198,189.9730842,1.216025305,2535.591275,0.001765927,7.872096408,1.226193942,0.228445014,50.33249888,1297.020473,0,0,0, ,75507,396854,9789503,62663,130661554,91,405657,63187,11772,2593684,66836762,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,0.46453591,5.153208748,154.5090528,0.6476878,2415.157789,0.001047913,6.557198579,0.610312239,0.154800023,48.7016165,1303.84749,0,0,0, ,23938,265550,7962006,33376,124455496,54,337899,31450,7977,2509643,67188565,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
10, eco3,43338,871.0403341,12.98290184,81.05616318,717.8526236,2410.756795,0.648414786,1808.547856,628.4970465,129.7100235,17.69216392,3587.002031,0.033319489,9.23E-05,0.00348424, ,37749146,562653,3512812,31110297,104477378,28101,78378847,27237805,5621373,766743,155453494,1444,4,151,,,,,,,,,,,,,,,
20, eco3,43338,782.6114495,6.942936914,81.48661683,541.8030597,2690.53002,0.648414786,1625.337164,415.1657898,58.27774701,17.8386866,3968.07423,0.002492039,0.011375698,0, ,33916815,300893,3531467,23480661,116602190,28101,70438862,17992455,2525641,773093,171968401,108,493,0,,,,,,,,,,,,,,,
30, eco3,43338,622.3724907,3.548479395,57.01045272,364.1115188,2899.587452,0.648414786,1315.457658,233.3744751,16.65916747,17.66392081,4144.059601,0.000276893,0.01252942,0, ,26972379,153784,2470719,15779865,125662321,28101,57009304,10113983,721975,765519,179595255,12,543,0,,,,,,,,,,,,,,,
40, eco3,43338,517.1896488,2.254557202,47.36046887,249.4229775,3128.07573,0.633624071,1116.67232,143.4616041,5.58890581,17.8859892,4242.258734,2.31E-05,0,0, ,22413965,97708,2052508,10809493,135564546,27460,48394345,6217339,242212,775143,183851009,1,0,0,,,,,,,,,,,,,,,
50, eco3,43338,457.326711,2.555124833,55.62898611,218.8756519,3402.452767,0.63777747,721.1401541,71.288592,4.12732475,19.29249158,4216.383959,0.010752688,0,0, ,19819625,110734,2410849,9485633,147455498,27640,31252772,3089505,178870,836098,182729648,466,0,0,,,,,,,,,,,,,,,
60, eco3,43338,362.3442014,2.207346901,56.69560201,170.0250588,3645.883797,0.643615303,303.5248973,50.64712262,2.19569431,21.96984171,4000.139831,0,0,0, ,15703273,95662,2457074,7368546,158005312,27893,13154162,2194945,95157,952129,173358060,0,0,0,,,,,,,,,,,,,,,
70, eco3,43338,252.9954082,2.387142923,54.09241312,94.80151368,3550.833703,0.696478841,137.4701648,34.1066962,1.624440445,25.56890027,3359.63757,0,2.31E-05,0, ,10964315,103454,2344257,4108508,153886031,30184,5957682,1478116,70400,1108105,145599973,0,1,0,,,,,,,,,,,,,,,
80, eco3,43338,175.3418247,1.7340671,54.56853108,55.27135539,3401.670151,0.736789884,104.0829757,24.16440537,0.845262818,32.50191518,2871.51636,0,0,0, ,7598964,75151,2364891,2395350,147421581,31931,4510748,1047237,36632,1408568,124445776,0,0,0,,,,,,,,,,,,,,,
90, eco3,43338,98.24361992,1.224260464,49.41538604,21.55535558,3153.774701,0.641030966,56.37883613,10.53844201,0.677257834,36.82498039,2421.906202,0,0,0, ,4257682,53057,2141564,934166,136678288,27781,2443346,456715,29351,1595921,104960571,0,0,0,,,,,,,,,,,,,,,
100, eco3,43338,56.78833818,1.011814112,42.73715908,14.94739028,2929.995131,0.729775255,54.55480179,5.878882274,0.418547233,43.51446767,2038.484009,0,0,0, ,2461093,43850,1852143,647790,126980129,31627,2364296,254779,18139,1885830,88343820,0,0,0,,,,,,,,,,,,,,,
110, eco3,43338,12.56924639,0.814758411,26.39484979,6.43797591,2675.375306,0.718791822,38.90703309,1.525104989,0.220614703,41.96005815,1822.095067,0,0,0, ,544726,35310,1143900,279009,115945415,31151,1686153,66095,9561,1818465,78965956,0,0,0,,,,,,,,,,,,,,,
120, eco3,43338,1.681272786,0.677973141,19.6027274,3.913009368,2481.240528,0.714753796,32.70100143,0.679011491,0.108657529,41.40322581,1690.530735,0,0,0, ,72863,29382,849543,169582,107532002,30976,1417196,29427,4709,1794333,73264221,0,0,0,,,,,,,,,,,,,,,
130, eco3,43338,0.437214454,0.444852093,13.27516267,1.844662882,2379.339933,0.704024182,27.52946606,0.334164013,0.075384189,41.76154876,1587.336771,0,0,0, ,18948,19279,575319,79944,103115834,30511,1193072,14482,3267,1809862,68792001,0,0,0,,,,,,,,,,,,,,,
