Year ,Location,Type,m ,s2/m ,k ,I m
2007,Moskey Basin,Other Deciduous,2.48,9.48,* ,3.14
1988,Moskey Basin,Balsam Fir,5.54,13.96,0.15,3.32
1989,Moskey Basin,Balsam Fir,4.63,13.88,* ,3.76
1990,Moskey Basin,Balsam Fir,4.43,13.3,0.176,3.76
1994,Moskey Basin,Balsam Fir,-- ,-- ,-- ,--
1995,Moskey Basin,Balsam Fir,-- ,-- ,-- ,--
1996,Moskey Basin,Balsam Fir,5.98,14.34,0.382,3.21
1997,Moskey Basin,Balsam Fir,5.64,13.71,* ,3.24
1998,Moskey Basin,Balsam Fir,5.42,10.74,* ,2.27
1999,Moskey Basin,Balsam Fir,7.02,13.92,* ,3.36
2000,Moskey Basin,Balsam Fir,5.69,14.62,* ,2.92
2001,Moskey Basin,Balsam Fir,3.86,13.61,* ,3.2
2002,Moskey Basin,Balsam Fir,-- ,-- ,-- ,--
2003,Moskey Basin,Balsam Fir,3.3,10.77,* ,3.51
2004,Moskey Basin,Balsam Fir,4.15,8.62,* ,3.29
2005,Moskey Basin,Balsam Fir,4.81,9,* ,2.91
2006,Moskey Basin,Balsam Fir,5.57,9.89,* ,2.83
2007,Moskey Basin,Balsam Fir,5.54,11.18,* ,2.81
