"","month.year","monthlyPET"
"1",2010-01-15,0
"2",2010-02-15,0
"3",2010-03-15,0
"4",2010-04-15,21.5793776719195
"5",2010-05-15,52.9251664077858
"6",2010-06-15,89.8850954349737
"7",2010-07-15,102.862928979217
"8",2010-08-15,86.5398034430264
"9",2010-09-15,69.1187742709951
"10",2010-10-15,33.6683926520812
"11",2010-11-15,0
"12",2010-12-15,0
"13",2011-01-15,0
"14",2011-02-15,0
"15",2011-03-15,12.8783612715963
"16",2011-04-15,31.2689042329234
"17",2011-05-15,44.4775871596087
"18",2011-06-15,95.6895789099843
"19",2011-07-15,106.678738965943
"20",2011-08-15,94.1300884944101
"21",2011-09-15,60.5902016668785
"22",2011-10-15,29.6902995299604
"23",2011-11-15,0
"24",2011-12-15,0
"25",2012-01-15,0
"26",2012-02-15,0
"27",2012-03-15,3.38309848891984
"28",2012-04-15,35.850688286743
"29",2012-05-15,60.2345024578462
"30",2012-06-15,97.6891977520007
"31",2012-07-15,100.106025858535
"32",2012-08-15,91.1595349387083
"33",2012-09-15,64.3482958589593
"34",2012-10-15,35.119953846282
"35",2012-11-15,3.80087163130037
"36",2012-12-15,0
"37",2013-01-15,0
"38",2013-02-15,0
"39",2013-03-15,4.4067734996512
"40",2013-04-15,27.9059062506437
"41",2013-05-15,55.7067422599953
"42",2013-06-15,98.0595549840494
"43",2013-07-15,102.580399851514
"44",2013-08-15,87.5076575196565
"45",2013-09-15,65.5201750773292
"46",2013-10-15,23.4528075323903
"47",2013-11-15,0
"48",2013-12-15,0
"49",2014-01-15,0
"50",2014-02-15,0
"51",2014-03-15,4.82834339203075
"52",2014-04-15,24.4325236876128
"53",2014-05-15,51.7671708464595
"54",2014-06-15,92.460395076594
"55",2014-07-15,103.82924843298
"56",2014-08-15,79.1866436341101
"57",2014-09-15,71.1182616053489
"58",2014-10-15,40.2559627854455
"59",2014-11-15,4.02912176560753
"60",2014-12-15,0
"61",2015-01-15,0
"62",2015-02-15,0
"63",2015-03-15,13.989712716267
"64",2015-04-15,30.3333007193232
"65",2015-05-15,45.7239734993592
"66",2015-06-15,90.9527572836948
"67",2015-07-15,96.6776375800287
"68",2015-08-15,89.6409172145881
"69",2015-09-15,71.4990275224224
"70",2015-10-15,38.9007271175546
"71",2015-11-15,0
"72",2015-12-15,0
"73",2016-01-15,0
"74",2016-02-15,0
"75",2016-03-15,12.0519620911698
"76",2016-04-15,23.9206486582071
"77",2016-05-15,50.1390975317617
"78",2016-06-15,94.9468184429974
"79",2016-07-15,109.940183698004
"80",2016-08-15,79.4783742141892
"81",2016-09-15,65.0355114038562
"82",2016-10-15,41.1618781388886
"83",2016-11-15,4.45913404516547
"84",2016-12-15,0
"85",2017-01-15,0
"86",2017-02-15,0
"87",2017-03-15,17.8577555138109
"88",2017-04-15,26.4025712612942
"89",2017-05-15,52.8303109882655
"90",2017-06-15,94.6108037824441
"91",2017-07-15,101.843592298447
"92",2017-08-15,85.603383060172
"93",2017-09-15,63.9235702530997
"94",2017-10-15,34.9612787667838
"95",2017-11-15,19.8153145176581
"96",2017-12-15,0
"97",2018-01-15,0
"98",2018-02-15,0
"99",2018-03-15,1.57347682727536
"100",2018-04-15,37.0296729028591
"101",2018-05-15,64.5699721099781
"102",2018-06-15,96.451511720237
"103",2018-07-15,102.346216462973
"104",2018-08-15,87.1301686598408
"105",2018-09-15,64.669050811734
"106",2018-10-15,29.9259358583601
"107",2018-11-15,0
"108",2018-12-15,0
"109",2019-01-15,0
"110",2019-02-15,0
"111",2019-03-15,0
"112",2019-04-15,34.1594244498715
"113",2019-05-15,43.4150489611594
"114",2019-06-15,83.6976143292867
"115",2019-07-15,104.344993109285
"116",2019-08-15,94.0863795844442
"117",2019-09-15,72.4188375289861
"118",2019-10-15,22.705159303665
"119",2019-11-15,0
"120",2019-12-15,0
"121",2020-01-15,0
"122",2020-02-15,0
"123",2020-03-15,7.38961013153165
"124",2020-04-15,34.00771521014
"125",2020-05-15,68.8033350001538
"126",2020-06-15,88.1270600208542
"127",2020-07-15,106.794974929328
"128",2020-08-15,96.4096556364682
"129",2020-09-15,57.7483486509407
"130",2020-10-15,35.299155691946
"131",2020-11-15,6.66324897814848
"132",2020-12-15,0
"133",2021-01-15,0
"134",2021-02-15,0
"135",2021-03-15,0
"136",2021-04-15,31.6750103803435
"137",2021-05-15,60.3278604025313
"138",2021-06-15,95.4464758514047
"139",2021-07-15,100.264884942173
"140",2021-08-15,86.3959729078404
"141",2021-09-15,68.1079796545251
"142",2021-10-15,29.2051600841073
"143",2021-11-15,12.5068351419338
"144",2021-12-15,0
"145",2022-01-15,0
"146",2022-02-15,0
"147",2022-03-15,0
"148",2022-04-15,34.8217983108408
"149",2022-05-15,70.4150114814664
"150",2022-06-15,94.9386416720902
"151",2022-07-15,104.530634891602
"152",2022-08-15,85.9113066380742
"153",2022-09-15,67.2466990666173
"154",2022-10-15,27.0825562324856
"155",2022-11-15,0
"156",2022-12-15,NA
