Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
29, eco3, 43338, 10036.02, 444.1, 493.7, 0.0
29, eco1, 93059, 8097.77, 296.1, 461.5, 0.0
30, eco2, 51531, 8671.26, 321.6, 403.0, 0.0
30, eco3, 43338, 9930.49, 438.8, 494.2, 0.0
30, eco1, 93059, 7916.99, 291.1, 462.0, 0.0
31, eco2, 51531, 8609.75, 319.0, 400.2, 0.0
31, eco3, 43338, 9906.91, 436.8, 492.3, 0.0
31, eco1, 93059, 7839.87, 289.3, 458.6, 0.0
32, eco2, 51531, 8545.94, 316.1, 397.5, 0.0
32, eco3, 43338, 9893.94, 434.3, 490.6, 0.0
32, eco1, 93059, 7770.25, 287.2, 455.4, 0.0
33, eco2, 51531, 8482.76, 313.2, 395.0, 0.0
33, eco3, 43338, 9885.55, 430.8, 488.6, 0.0
33, eco1, 93059, 7696.98, 284.5, 452.4, 0.0
34, eco2, 51531, 8420.72, 309.9, 392.4, 0.0
34, eco3, 43338, 9857.68, 426.9, 486.4, 0.0
34, eco1, 93059, 7628.68, 281.7, 449.3, 0.0
35, eco2, 51531, 8358.39, 306.7, 389.8, 0.0
35, eco3, 43338, 9830.21, 423.5, 484.1, 0.0
35, eco1, 93059, 7564.36, 278.6, 446.2, 0.0
36, eco2, 51531, 8300.73, 303.3, 387.3, 0.0
36, eco3, 43338, 9799.77, 419.7, 481.7, 0.0
36, eco1, 93059, 7503.13, 275.3, 443.0, 0.0
37, eco2, 51531, 8246.06, 299.6, 384.6, 0.0
37, eco3, 43338, 9771.46, 415.7, 479.2, 0.0
37, eco1, 93059, 7445.73, 271.8, 439.7, 0.0
38, eco2, 51531, 8197.39, 295.9, 381.8, 0.0
38, eco3, 43338, 9743.62, 411.5, 476.5, 0.0
38, eco1, 93059, 7393.26, 268.2, 436.3, 0.0
39, eco2, 51531, 8148.66, 292.0, 378.9, 0.0
39, eco3, 43338, 9712.38, 406.9, 473.7, 0.0
39, eco1, 93059, 7340.78, 264.2, 432.6, 0.0
40, eco2, 51531, 8128.34, 304.9, 382.0, 0.0
40, eco3, 43338, 9545.50, 401.3, 474.7, 0.0
40, eco1, 93059, 7179.91, 276.8, 439.5, 0.0
41, eco2, 51531, 8148.48, 303.2, 383.2, 0.0
41, eco3, 43338, 9524.09, 397.9, 470.7, 0.0
41, eco1, 93059, 7216.24, 275.3, 438.4, 0.0
42, eco2, 51531, 8169.28, 298.7, 383.1, 0.0
42, eco3, 43338, 9501.81, 392.1, 466.4, 0.0
42, eco1, 93059, 7245.47, 270.6, 436.3, 0.0
43, eco2, 51531, 8188.19, 294.1, 382.2, 0.0
43, eco3, 43338, 9478.35, 386.0, 462.0, 0.0
43, eco1, 93059, 7271.50, 265.7, 433.4, 0.0
44, eco2, 51531, 8202.30, 289.4, 380.6, 0.0
44, eco3, 43338, 9447.68, 379.4, 457.3, 0.0
44, eco1, 93059, 7289.94, 260.5, 429.8, 0.0
45, eco2, 51531, 8212.40, 284.5, 378.3, 0.0
45, eco3, 43338, 9413.53, 372.8, 452.4, 0.0
