Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ABBA, eco1, 23498, 0.95, 1, 1, 0.4, 0.07, 28.57, 102, 266, 
1, ACRU, eco1, 26119, 0.29, 1, 1, 0.58, 0.05, 29.17, 102, 266, 
1, ACSA3, eco1, 17533, 0.73, 1, 1, 0.1, 0.01, 28.45, 102, 266, 
1, ACSP2, eco1, 23764, 0.29, 1, 1, 0.59, 0.05, 28.51, 102, 266, 
1, ALIN2, eco1, 16804, 1, 1, 1, 0.06, 0.01, 38.87, 102, 266, 
1, BEAL2, eco1, 17537, 0.97, 1, 1, 0.48, 0.08, 28.11, 102, 266, 
1, BEPA, eco1, 25962, 0.72, 1, 1, 0.63, 0.11, 30.95, 102, 266, 
1, CRDO2, eco1, 23474, 0.94, 1, 1, 0.31, 0.06, 28.51, 102, 266, 
1, FRNI, eco1, 23588, 1, 1, 1, 0.05, 0.01, 28.41, 102, 266, 
1, LALA, eco1, 16736, 0.97, 1, 1, 0.5, 0.1, 39.05, 102, 266, 
1, PIGL, eco1, 26346, 0.5, 1, 1, 0.61, 0.08, 29.25, 102, 266, 
1, PIMA, eco1, 16992, 0.49, 1, 1, 0.51, 0.07, 39, 102, 266, 
1, PIBA2, eco1, 16790, 0.95, 1, 1, 0.61, 0.11, 38.93, 102, 266, 
1, PIRE, eco1, 26334, 0.95, 1, 1, 0.72, 0.13, 29.31, 102, 266, 
1, PIST, eco1, 25985, 0.8, 1, 1, 0.69, 0.12, 30.96, 102, 266, 
1, POBA2, eco1, 25985, 0.98, 1, 1, 0.61, 0.11, 30.89, 102, 266, 
1, POGR4, eco1, 26381, 0.8, 1, 1, 0.66, 0.12, 29.33, 102, 266, 
1, POTR5, eco1, 26129, 0.99, 1, 1, 0.61, 0.11, 30.94, 102, 266, 
1, PRVI, eco1, 25933, 0.36, 1, 1, 0.67, 0.06, 29.27, 102, 266, 
1, QURU, eco1, 23569, 0.55, 1, 1, 0.53, 0.08, 28.56, 102, 266, 
1, SODE3, eco1, 23506, 0.99, 1, 1, 0.68, 0.12, 28.35, 102, 266, 
1, THOC2, eco1, 25940, 0.97, 1, 1, 0.66, 0.13, 30.98, 102, 266, 
1, Shrub, eco1, 23698, 0.91, 1, 1, 0.9, 0.18, 28.14, 102, 266, 
2, ABBA, eco1, 15795, 1, 1, 1, 0.56, 0.07, 18.32, 113, 282, 
2, ACRU, eco1, 14497, 0.18, 1, 1, 0.7, 0.02, 17.53, 113, 282, 
2, ACSA3, eco1, 15965, 0.51, 1, 1, 0.31, 0.02, 18.66, 113, 282, 
2, ACSP2, eco1, 16004, 0.18, 1, 1, 0.69, 0.02, 18.09, 113, 282, 
2, ALIN2, eco1, 9950, 0.98, 1, 1, 0.52, 0.1, 15.26, 113, 282, 
2, BEAL2, eco1, 15737, 0.82, 1, 1, 0.58, 0.07, 18.69, 113, 282, 
2, BEPA, eco1, 12454, 0.9, 1, 1, 0.78, 0.08, 16.5, 113, 282, 
2, CRDO2, eco1, 15910, 0.88, 1, 1, 0.53, 0.1, 18.18, 113, 282, 
2, FRNI, eco1, 15736, 0.96, 1, 1, 0.27, 0.05, 18.24, 113, 282, 
2, LALA, eco1, 10086, 1, 1, 1, 0.78, 0.11, 15.25, 113, 282, 
2, PIGL, eco1, 14339, 0.75, 1, 1, 0.73, 0.09, 17.64, 113, 282, 
2, PIMA, eco1, 10123, 0.74, 1, 1, 0.78, 0.12, 15.21, 113, 282, 
2, PIBA2, eco1, 10125, 1, 1, 1, 0.85, 0.07, 15.27, 113, 282, 
2, PIRE, eco1, 14719, 0.98, 1, 1, 0.84, 0.11, 17.54, 113, 282, 
2, PIST, eco1, 12638, 0.63, 1, 1, 0.84, 0.08, 16.4, 113, 282, 
2, POBA2, eco1, 12672, 1, 1, 1, 0.76, 0.09, 16.81, 113, 282, 
2, POGR4, eco1, 14388, 0.63, 1, 1, 0.78, 0.08, 17.57, 113, 282, 
2, POTR5, eco1, 12640, 0.99, 1, 1, 0.76, 0.09, 16.8, 113, 282, 
2, PRVI, eco1, 14437, 0.24, 1, 1, 0.78, 0.03, 17.54, 113, 282, 
2, QURU, eco1, 15803, 0.41, 1, 1, 0.65, 0.05, 18.15, 113, 282, 
2, SODE3, eco1, 15706, 0.93, 1, 1, 0.78, 0.11, 18.28, 113, 282, 
2, THOC2, eco1, 12648, 0.99, 1, 1, 0.81, 0.12, 16.53, 113, 282, 
2, Shrub, eco1, 15692, 0.85, 1, 1, 0.94, 0.17, 18.09, 113, 282, 
3, ABBA, eco1, 17288, 0.99, 1, 1, 0.57, 0.07, 17.59, 103, 271, 
3, ACRU, eco1, 15829, 0.2, 1, 1, 0.71, 0.03, 17.08, 103, 271, 
3, ACSA3, eco1, 17149, 0.57, 1, 1, 0.22, 0, 18.31, 103, 271, 
3, ACSP2, eco1, 17293, 0.2, 1, 1, 0.7, 0.03, 17.77, 103, 271, 
3, ALIN2, eco1, 10372, 0.99, 1, 1, 0.49, 0.1, 14.24, 103, 271, 
3, BEAL2, eco1, 17300, 0.87, 1, 1, 0.59, 0.08, 18.18, 103, 271, 
