Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1999, eco1, 1, 76.54, 5.64, 102, 266, 0, 
2000, eco1, 1, 62.74, 4.47, 113, 282, 0, 
2001, eco1, 1, 89.87, 5.33, 103, 271, 0, 
2002, eco1, 1, 72.34, 4.42, 126, 260, 0, 
2003, eco1, 1, 62.92, 3.79, 119, 270, 0, 
2004, eco1, 1, 77.66, 3.93, 121, 275, 0, 
2005, eco1, 1, 77.36, 4.74, 104, 281, 0, 
2006, eco1, 1, 59.5, 5.63, 100, 262, 0, 
2007, eco1, 1, 75.42, 4.43, 115, 291, 0, 
2008, eco1, 1, 71.89, 3.28, 118, 276, 0, 
2009, eco1, 1, 69.58, 3, 121, 264, 0, 
2010, eco1, 1, 55.58, 5.33, 100, 254, 0, 
2011, eco1, 1, 66.53, 5.92, 104, 291, 0, 
2012, eco1, 1, 74.52, 7.71, 64, 274, 0, 
2013, eco1, 1, 85.48, 5.03, 116, 288, 0, 
2014, eco1, 1, 83.44, 1.81, 121, 273, 0, 
2015, eco1, 1, 73.47, 4.48, 113, 274, 0, 
2016, eco1, 1, 96.23, 5.55, 115, 279, 0, 
2017, eco1, 1, 103.86, 4.66, 111, 276, 0, 
2018, eco1, 1, 81.73, 3.63, 122, 265, 0, 
2019, eco1, 1, 95.51, 3.47, 119, 271, 0, 
