Time,PopulationZone,TotalSites,SpeciesName,SpeciesIndex,AverageForage,AverageForageInReach,AverageBiomassBrowsed,AverageBiomassRemoved,TotalCohortsKilled,
1, 1, 140433, ABBA, 0, 12.5729698745849, 0.843816671565348, 0.62626579717719, 0.694629832578787, 233, 
1, 1, 140433, ACRU, 1, 1.50828890645306, 0.0406133601076671, 0.040966781312085, 0.0540005269416777, 94, 
1, 1, 140433, ACSA3, 2, 23.8451331524542, 0.524830600906779, 0.448948864130207, 0.505349239757531, 119, 
1, 1, 140433, ACSP2, 3, 0.151175356219644, 0.00482758326034489, 0.00486894106086187, 0.00639416661326055, 11, 
1, 1, 140433, ALIN2, 4, 1.2212018542655, 0, 0, 0, 0, 
1, 1, 140433, BEAL2, 5, 29.0114180000412, 0.46162985339225, 0.382366385867493, 0.399540839926266, 32, 
1, 1, 140433, BEPA, 6, 61.4520033667792, 0.0249161949114489, 0.0244421818294136, 0.0341481626174064, 70, 
1, 1, 140433, CRDO2, 7, 0.0708848262160616, 0.0130441029123194, 0.00524841122589187, 0.00524841122589187, 0, 
1, 1, 140433, FRNI, 8, 0.42044340005548, 0, 0, 0, 0, 
1, 1, 140433, LALA, 9, 1.98508230971334, 0, 0, 0, 0, 
1, 1, 140433, PIGL, 10, 35.8037118455209, 0, 0, 0, 0, 
1, 1, 140433, PIMA, 11, 10.7698804981726, 0, 0, 0, 0, 
1, 1, 140433, PIBA2, 12, 2.67031658370857, 0, 0, 0, 0, 
1, 1, 140433, PIRE, 13, 0.203326978701589, 0, 0, 0, 0, 
1, 1, 140433, PIST, 14, 6.02502205037349, 0.125149439539554, 0.0798289599462147, 0.0798289599462147, 0, 
1, 1, 140433, POBA2, 15, 1.72929841276619, 0.00192877742410971, 0.0019438166242977, 0.00249844409789723, 4, 
1, 1, 140433, POGR4, 16, 3.26831672897422, 0.00101514601268933, 0.00101890581273633, 0.0011575626811362, 1, 
1, 1, 140433, POTR5, 17, 74.8221578176049, 0.193001815812461, 0.195062186238213, 0.271046150121306, 223, 
1, 1, 140433, PRVI, 18, 0.0614095661276229, 0.0213143064664267, 0.0194661691018935, 0.0248737869694876, 39, 
1, 1, 140433, QURU, 19, 0.0770901882036275, 0.000780158509751982, 0.00015949925665642, 0.00015949925665642, 0, 
1, 1, 140433, SODE3, 20, 0.943511106365734, 0.437372839716362, 0.440671426341443, 0.598018913485951, 995, 
1, 1, 140433, THOC2, 21, 31.8834638353981, 0.585464880598687, 0.32153278566049, 0.321672103101547, 1, 
1, 1, 140433, Shrub, 22, 1.81957703958342, 0.892808247635061, 0.859329591288505, 1.02135363428643, 813, 
2, 1, 140433, ABBA, 0, 12.9493440539435, 0.862789405953364, 0.686801708018889, 0.806507245067976, 388, 
2, 1, 140433, ACRU, 1, 1.55617041122762, 0.0749780077332309, 0.0722678966007887, 0.0922478169898824, 114, 
2, 1, 140433, ACSA3, 2, 23.76700436964, 0.427097843573778, 0.3737306470965, 0.462338791524169, 172, 
2, 1, 140433, ACSP2, 3, 0.171891478498694, 0.0192569438807119, 0.0191929356180634, 0.0208283609098396, 15, 
2, 1, 140433, ALIN2, 4, 1.30586954348335, 0, 0, 0, 0, 
2, 1, 140433, BEAL2, 5, 28.8553266843803, 0.423307196954889, 0.371109385491389, 0.387656937727793, 37, 
2, 1, 140433, BEPA, 6, 62.1414580522369, 0.374853980577826, 0.343817226587804, 0.354468476797842, 67, 
2, 1, 140433, CRDO2, 7, 0.0840243042998744, 0.0244356672973402, 0.0159398596962737, 0.0159398596962737, 0, 
2, 1, 140433, FRNI, 8, 0.442886398496026, 0, 0, 0, 0, 
2, 1, 140433, LALA, 9, 2.0323531477644, 0, 0, 0, 0, 
2, 1, 140433, PIGL, 10, 37.409909704987, 0, 0, 0, 0, 
2, 1, 140433, PIMA, 11, 11.2727614620498, 0, 0, 0, 0, 
2, 1, 140433, PIBA2, 12, 2.78875141312932, 0, 0, 0, 0, 
2, 1, 140433, PIRE, 13, 0.208451774155648, 0, 0, 0, 0, 
2, 1, 140433, PIST, 14, 6.08390236777942, 0.162763422355586, 0.117405813502928, 0.11819249987909, 2, 
2, 1, 140433, POBA2, 15, 1.74080225417093, 0.016458881886736, 0.0160924388537342, 0.0170755166602037, 8, 
2, 1, 140433, POGR4, 16, 3.21117619021189, 0.0312228459122858, 0.0308497206700133, 0.0314620595216274, 7, 
2, 1, 140433, POTR5, 17, 74.4563849180905, 0.307493178953702, 0.30416182715155, 0.37290401317592, 201, 
2, 1, 140433, PRVI, 18, 0.063393199289951, 0.0227354735417312, 0.0215250938683357, 0.0319713236576061, 67, 
2, 1, 140433, QURU, 19, 0.0783922069599027, 0.00177462562218282, 0.00103501920101989, 0.00103501920101989, 0, 
2, 1, 140433, SODE3, 20, 0.791178829911098, 0.281004605903819, 0.279404413752897, 0.449848261638915, 967, 
2, 1, 140433, THOC2, 21, 32.3411606430785, 0.857455880636694, 0.618148209383776, 0.622533516974342, 22, 
2, 1, 140433, Shrub, 22, 1.54373446097254, 0.664968405187544, 0.640921267763297, 0.808027050368223, 860, 
3, 1, 140433, ABBA, 0, 12.9448741966572, 0.826304220908019, 0.833318015458399, 1.14916992911048, 923, 
3, 1, 140433, ACRU, 1, 1.52259119304159, 0.0437537403062265, 0.0444578354227911, 0.0658710489160318, 123, 
3, 1, 140433, ACSA3, 2, 23.6836525156896, 0.42933137125687, 0.431906052934427, 0.567532506317795, 266, 
3, 1, 140433, ACSP2, 3, 0.159886306508534, 0.00856093426696155, 0.00868060438777297, 0.0111671592995394, 20, 
