Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
29, eco3, 43338, 9910.70, 454.6, 507.6, 0.0
29, eco1, 93059, 8031.60, 318.3, 493.4, 0.0
30, eco2, 51531, 8360.81, 327.5, 430.7, 0.0
30, eco3, 43338, 9674.51, 442.7, 511.1, 0.0
30, eco1, 93059, 7927.66, 313.8, 491.9, 0.0
31, eco2, 51531, 8324.86, 325.9, 426.0, 0.0
31, eco3, 43338, 9666.19, 441.8, 507.0, 0.0
31, eco1, 93059, 7876.37, 311.3, 488.3, 0.0
32, eco2, 51531, 8281.78, 322.8, 421.7, 0.0
32, eco3, 43338, 9657.52, 439.2, 503.6, 0.0
32, eco1, 93059, 7836.00, 308.0, 484.6, 0.0
33, eco2, 51531, 8249.99, 320.4, 418.1, 0.0
33, eco3, 43338, 9681.32, 436.9, 500.8, 0.0
33, eco1, 93059, 7791.71, 304.9, 481.0, 0.0
34, eco2, 51531, 8213.94, 317.4, 414.7, 0.0
34, eco3, 43338, 9670.18, 432.5, 497.7, 0.0
34, eco1, 93059, 7750.33, 301.6, 477.3, 0.0
35, eco2, 51531, 8180.52, 314.6, 411.6, 0.0
35, eco3, 43338, 9661.73, 429.6, 494.9, 0.0
35, eco1, 93059, 7710.98, 298.1, 473.7, 0.0
36, eco2, 51531, 8148.05, 311.2, 408.6, 0.0
36, eco3, 43338, 9649.78, 426.2, 492.2, 0.0
36, eco1, 93059, 7674.24, 294.1, 469.8, 0.0
37, eco2, 51531, 8118.81, 308.1, 405.7, 0.0
37, eco3, 43338, 9636.64, 422.7, 489.5, 0.0
37, eco1, 93059, 7636.83, 290.1, 465.8, 0.0
38, eco2, 51531, 8090.32, 304.5, 402.7, 0.0
38, eco3, 43338, 9621.36, 418.6, 486.8, 0.0
38, eco1, 93059, 7600.54, 285.6, 461.6, 0.0
39, eco2, 51531, 8061.87, 301.1, 399.7, 0.0
39, eco3, 43338, 9604.61, 414.2, 483.9, 0.0
39, eco1, 93059, 7564.04, 281.0, 457.1, 0.0
40, eco2, 51531, 7970.14, 295.5, 398.6, 0.0
40, eco3, 43338, 9470.80, 400.5, 481.9, 0.0
40, eco1, 93059, 7374.42, 269.6, 456.1, 0.0
41, eco2, 51531, 7974.49, 291.9, 394.6, 0.0
41, eco3, 43338, 9469.58, 395.2, 475.5, 0.0
41, eco1, 93059, 7351.42, 265.3, 448.8, 0.0
42, eco2, 51531, 7976.20, 287.3, 390.5, 0.0
42, eco3, 43338, 9469.40, 388.8, 469.4, 0.0
42, eco1, 93059, 7324.55, 259.6, 441.6, 0.0
43, eco2, 51531, 7978.17, 282.7, 386.3, 0.0
43, eco3, 43338, 9462.76, 382.4, 463.3, 0.0
43, eco1, 93059, 7296.61, 254.3, 434.6, 0.0
44, eco2, 51531, 7975.32, 278.1, 382.1, 0.0
44, eco3, 43338, 9449.32, 375.4, 457.2, 0.0
44, eco1, 93059, 7264.17, 248.7, 427.6, 0.0
45, eco2, 51531, 7969.26, 273.5, 377.8, 0.0
45, eco3, 43338, 9430.98, 368.4, 451.1, 0.0
45, eco1, 93059, 7226.22, 243.5, 420.8, 0.0
46, eco2, 51531, 7956.50, 269.0, 373.4, 0.0
46, eco3, 43338, 9406.85, 361.0, 444.8, 0.0
46, eco1, 93059, 7182.85, 238.7, 414.3, 0.0
47, eco2, 51531, 7942.98, 264.8, 369.2, 0.0
47, eco3, 43338, 9377.21, 354.0, 438.6, 0.0
47, eco1, 93059, 7135.54, 235.2, 408.2, 0.0
48, eco2, 51531, 7924.09, 261.2, 365.0, 0.0
48, eco3, 43338, 9342.40, 347.4, 432.3, 0.0
48, eco1, 93059, 7087.25, 232.5, 402.8, 0.0
49, eco2, 51531, 7904.97, 258.0, 361.0, 0.0
49, eco3, 43338, 9304.00, 341.5, 426.3, 0.0
49, eco1, 93059, 7038.97, 230.4, 398.0, 0.0
50, eco2, 51531, 7815.96, 254.1, 358.4, 0.0
50, eco3, 43338, 9169.72, 333.1, 422.2, 0.0
50, eco1, 93059, 6913.99, 226.8, 395.9, 0.0
51, eco2, 51531, 7796.75, 251.4, 354.1, 0.0
51, eco3, 43338, 9129.78, 327.7, 415.0, 0.0
51, eco1, 93059, 6868.36, 225.0, 391.1, 0.0
52, eco2, 51531, 7777.16, 248.5, 350.0, 0.0
52, eco3, 43338, 9087.55, 322.4, 408.1, 0.0
52, eco1, 93059, 6822.39, 222.9, 386.8, 0.0
53, eco2, 51531, 7755.38, 245.7, 346.1, 0.0
53, eco3, 43338, 9045.50, 317.0, 401.5, 0.0
53, eco1, 93059, 6776.18, 220.8, 382.8, 0.0
54, eco2, 51531, 7733.83, 242.9, 342.2, 0.0
54, eco3, 43338, 9002.44, 311.3, 394.8, 0.0
54, eco1, 93059, 6731.28, 218.6, 379.0, 0.0
55, eco2, 51531, 7712.36, 240.0, 338.3, 0.0
55, eco3, 43338, 8958.44, 305.8, 388.2, 0.0
55, eco1, 93059, 6688.07, 216.5, 375.4, 0.0
56, eco2, 51531, 7691.50, 237.1, 334.5, 0.0
