"","species","class.0","class.1","class.2","class.3","class.4","class.5"
"1","ABBA",0.0827601936833037,0.27390034746726,0.241125961590322,0.166744768565567,0.113603924590579,0.0112258571844578
"2","ACRU",0.0711445011497758,0.236572482056231,0.22412235242965,0.169406607844842,0.127451856548504,0.0224069840549415
"3","ACSA3",0.0000730720579051117,0.0133211460661135,0.0905278357261886,0.196052433417831,0.266025001443122,0.0286722742562633
"4","ACSP2",0.0163538115448389,0.162345585035502,0.247104282054246,0.221208906733406,0.170926120376227,0.0125714818010702
"5","BEAL2",0.00140555417175232,0.0558850386395119,0.176210799435115,0.237501020026367,0.235208486830247,0.0184422265412802
"6","BEPA",0.276292541057304,0.29282418646763,0.168986739526604,0.10181886312192,0.0681933583440936,0.0149739732813043
"7","FRNI",0.0146263269986789,0.152876145249713,0.241381286239437,0.22201155914258,0.17552614051422,0.0140041024107566
"8","LALA",0.821388860667046,0.139833208234388,0.0273100231622053,0.00763664109936157,0.00262862001123043,0.0000374412137413849
"9","PIBA2",0.748213365631048,0.178328830965451,0.0461620069618062,0.0161412975705572,0.00683613989396026,0.000248314567064201
"10","PIGL",0.139434948938631,0.278147047822375,0.207825813456058,0.140648006369681,0.0999275777121411,0.0194084601805296
"11","PIMA",0.803788452295149,0.145166861076257,0.0334062435335779,0.0108290196483657,0.00431155238376935,0.000125365589583981
"12","PIST",0.446318096501079,0.313411123669758,0.127608055004873,0.0581655266280467,0.0300444172321894,0.00192458506607907
"13","PIRE",0.111300894976898,0.288164416719293,0.228869582901999,0.152643620414307,0.10327300067994,0.0121047531184073
"14","POBA2",0.212221085796655,0.305362022297222,0.192151274417114,0.117674749252196,0.0777834541925323,0.0127011734607677
"15","POGR4",0.173133645851312,0.276798262618689,0.193077109256838,0.128986123634132,0.0926610586861586,0.0229877888799737
"16","POTR5",0.250890432277956,0.290742703027361,0.175008482204307,0.108036406201777,0.0736408235902238,0.0168946294511054
"17","PRVI",0.0687447312937233,0.232406130451291,0.223011976628058,0.170212361821384,0.129168020252218,0.0235523665107262
"18","QURU",0.0517938416368196,0.212109258467987,0.224045682877582,0.17934090382005,0.139785289290584,0.0250627374405525
"19","SODE3",0.0328451801052657,0.143204376707172,0.175376614336436,0.164961289945415,0.152971310794779,0.0756062741502675
"20","THOC2",0.278048058575034,0.360133423396844,0.183583128537521,0.0912644717747746,0.0486715069652133,0.00252973353894903
